7781002
/m/026cvzw
/m/026cvzw
Jeanne Kalogridis

{"/m/0hwxm": "Historical novel"}
a 14
above 1
after 5
again 1
alexander 1
alfonso 4
all 2
allowed 1
alone 1
also 2
although 2
ancient 1
and 13
anniversary 2
any 2
are 2
as 3
ascension 1
back 1
be 5
became 1
because 1
been 1
beginning 1
behaviour 1
believed 1
beseech 1
betrothed 1
between 1
blades 1
blessing 1
blood 2
book 1
boredom 1
borgia 1
brother 3
brought 1
but 1
by 7
caetani 1
calabria 1
card 1
cards 1
care 1
castel 1
cause 1
celebrating 1
chamber 3
chambers 1
changed 1
chapter 1
children 2
chooses 1
close 1
comforted 1
condemn 1
considered 1
contact 1
count 3
courtship 1
dead 3
death 1
denies 1
described 1
destroy 1
disasters 1
discovers 1
discussing 1
do 1
does 1
donna 1
duke 2
elected 1
else 1
ends 1
enemies 1
enter 1
evil 1
family 2
father 2
feast 1
ferrante 2
find 1
finds 2
for 4
foreboding 1
gennaro 1
give 1
go 1
good 1
grandfather 5
great 2
had 5
has 1
have 1
he 5
heart 2
held 1
her 15
here 1
herself 1
him 2
hint 1
his 2
house 1
household 1
if 2
immediately 1
impaled 1
in 6
incorrigible 1
inside 1
invited 1
is 9
it 2
italy 1
its 1
jovial 1
killed 1
king 5
later 3
leaves 1
legend 1
less 1
liquid 1
little 2
longer 1
love 3
loves 1
made 1
makes 1
man 1
manner 1
many 1
marry 1
matters 1
meets 1
miracle 2
more 1
most 2
mother 1
name 1
named 1
naples 2
natural 1
neapolitan 1
needed 1
never 1
new 1
news 1
night 1
nor 1
not 6
nuovo 1
nursery 1
occasion 1
of 14
off 1
omen 1
on 2
once 1
one 2
onorato 1
or 1
other 1
out 1
over 1
pair 1
party 1
pass 1
passed 1
performed 1
picnic 1
pope 2
powerful 1
preceded 1
preserved 1
princess 3
procession 1
punish 1
quickly 1
rapidly 1
reached 1
realizes 1
reliquary 1
remembering 1
required 1
resort 1
return 1
returns 1
reunited 1
rodrigo 1
royal 4
royals 1
said 1
san 1
sancha 14
saying 1
says 1
see 1
seeks 1
sees 1
several 1
share 1
she 14
silver 1
since 1
son 1
speak 1
speaks 1
spreading 1
starts 1
still 1
strega 3
study 1
summoned 1
surprised 1
swears 1
take 1
tarot 1
tell 1
tells 1
than 1
that 15
the 43
them 1
then 1
there 2
they 1
thing 1
thirtieth 1
this 1
those 1
three 1
throne 1
to 22
together 1
told 1
towards 1
true 1
trusia 1
two 3
vi 1
visited 1
warns 1
wars 1
was 6
watch 1
way 1
weak 1
weeks 2
went 1
when 1
which 1
whim 1
whom 1
will 6
witch 1
with 4
witness 1
would 1
x 1
year 1
years 1
you 2
your 1
