30998772
/m/0gg9xnd
/m/0gg9xnd
Karin Slaughter
2010
{"/m/0lsxr": "Crime Fiction"}
a 3
adams 1
after 2
agent 1
all 2
allison 2
and 5
angry 1
any 1
arriving 1
back 1
backup 1
begins 1
behavior 1
between 1
body 1
boss 1
boyfriend 1
braham 2
broken 1
brutally 1
bureau 1
by 1
callous 1
calls 1
cell 1
chief 1
clearing 1
college 1
convinced 1
county 1
coverups 1
death 2
definitively 1
deliberate 1
department 1
despite 1
detective 1
discovering 1
dorm 1
down 1
dr 1
drunk 1
errors 1
family 1
follow 1
for 1
frank 2
frigid 1
from 3
georgia 1
grant 2
has 1
he 1
her 3
his 2
husband 1
immediately 1
in 8
incredibly 1
innocent 1
interim 1
investigation 2
involvement 1
is 2
jail 1
jason 1
killed 1
killer 1
lake 1
leads 1
led 1
lena 3
lingering 1
link 1
linton 1
loose 1
mainly 1
meets 1
murder 1
murderer 1
must 1
of 6
oft 1
on 1
over 1
perpetrated 1
pieces 1
points 1
police 2
possibly 1
prime 1
pull 1
pulled 1
reckless 1
resistance 1
roadblocks 1
role 1
room 1
sara 4
secret 1
serious 1
soon 1
spooner 1
spurs 1
still 2
student 1
suicide 2
suspect 2
suspicion 1
thanksgiving 1
that 1
the 14
this 1
three 1
time 1
to 4
together 1
tommy 2
town 2
track 1
trail 1
trent 1
unveils 1
upon 1
victims 1
wallace 2
when 1
will 2
with 4
