2752484
/m/080shc
/m/080shc
Karen Traviss
2004-03
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
170 1
75 1
a 24
abortion 1
about 1
according 1
actually 1
again 1
agreement 1
ahead 1
alien 3
alive 1
allowed 1
allows 1
almost 1
along 1
also 2
alter 1
altered 1
amount 1
an 4
and 35
anger 1
angry 1
animals 2
another 1
anxious 1
any 1
appearance 1
aras 5
architecture 1
are 8
arrangement 1
as 6
at 5
atmosphere 1
attempted 1
attributes 1
available 1
away 1
baby 1
bad 1
band 1
bank 1
be 5
been 3
before 1
begins 2
between 2
bezeri 3
big 1
biosphere 1
bipedal 1
bogdwelling 1
bond 1
both 1
boundaries 1
breath 1
briefing 1
brought 2
brutally 1
built 1
but 8
by 4
call 1
called 2
camp 1
can 1
capable 1
carefully 1
carry 1
cavanagh 4
centuries 1
christian 1
circumstances 1
cities 1
civilian 1
civilians 1
civilization 1
claim 1
classified 1
cnataat 1
colonist 1
colonize 1
colony 2
comes 1
command 2
commander 2
competing 1
compilation 1
compile 1
compiled 1
completely 1
complex 1
compliantly 1
complicated 1
confronted 1
constantine 10
contact 2
control 1
controlled 1
cop 1
could 2
creature 1
crew 5
crime 1
crops 1
current 1
cut 1
days 1
decides 1
designed 1
despite 1
destination 1
die 1
discover 1
discovers 1
disease 3
do 1
does 3
each 1
earth 4
earthly 1
efficient 1
embryos 1
enormous 1
environment 1
environmentalists 1
eugenie 1
even 1
eventually 1
ever 1
everyone 1
example 1
explains 1
explore 1
exposure 1
extended 1
extreme 1
fact 2
family 1
female 1
fight 1
find 1
first 1
fit 1
follows 1
for 10
force 1
form 1
forth 1
found 1
frankland 1
friends 1
from 10
gain 1
garrod 1
gene 1
genetic 1
genetics 1
get 1
given 2
gives 2
godoriented 1
got 1
group 2
grow 1
grumbles 1
guides 1
had 4
hands 1
hardened 1
hardworking 1
has 4
have 4
he 4
heard 1
heed 1
helen 1
her 9
him 4
his 5
hold 1
honest 1
hookup 1
host 1
hosts 1
however 5
hugel 1
humankind 1
humans 1
hundreds 1
in 13
including 1
increases 1
indefinite 1
independent 1
infected 1
information 4
ingested 1
inhabit 1
installs 1
intelligent 1
intentions 1
into 2
is 15
isenj 3
isnt 1
issue 1
issues 1
it 6
itching 1
its 3
josh 4
journey 1
just 1
keeps 1
kept 1
killing 1
know 2
knowing 2
knows 1
lack 1
land 1
largest 1
launch 1
lead 1
leader 2
learn 1
learns 2
leave 1
left 1
lifespan 1
light 1
like 1
lindsay 1
little 1
live 1
look 2
made 2
mainly 1
make 1
many 2
marines 1
materials 1
mean 1
means 1
medic 1
medical 1
meets 1
military 1
millions 1
mind 1
minimum 1
mission 3
mixmatched 1
months 1
moon 1
more 1
must 2
name 1
named 3
need 1
needs 1
never 1
neville 5
no 2
nonexistent 1
nor 1
normal 1
not 6
nothing 2
now 1
obliterate 1
occurred 1
of 25
off 3
on 9
once 1
one 2
only 5
or 1
orders 1
originate 1
out 1
outer 1
own 2
payload 3
people 1
perault 2
periods 1
permitted 1
pills 1
placed 1
planet 10
plants 2
politician 1
pollution 1
possesses 1
power 2
preceded 1
predator 1
pregnancy 1
preparing 1
previous 1
pride 1
protected 1
protector 1
race 2
races 1
rather 1
reach 1
recruits 1
religious 1
representative 2
requires 1
resolve 1
respect 1
restrictions 1
retirement 1
rising 1
risk 1
rock 1
rule 1
rumored 1
run 1
same 1
samples 3
sb 2
scavenger 1
scientific 1
scientists 2
second 1
see 1
seeds 1
selfsufficient 1
sets 1
shan 17
she 5
shevens 1
ship 2
should 1
similar 1
since 1
single 1
slowly 1
small 2
so 2
society 1
some 1
soon 1
sore 1
space 1
specialized 1
species 2
speedoflight 1
squidlike 1
star 4
stepped 1
strikingly 1
strong 1
stunning 1
subconscious 1
subterranean 1
such 1
superintendent 1
supposedly 1
suppressed 1
surprises 1
suspended 1
symbiotic 1
take 3
technology 1
telling 1
tells 1
than 1
that 10
the 65
their 3
theirs 1
them 4
thetis 7
they 8
thinking 1
third 1
this 4
though 2
thriving 1
through 3
time 7
to 31
together 1
topsecret 1
touch 1
touches 1
trace 1
transferable 1
travel 1
trouble 1
two 2
ultimate 1
under 1
unique 2
unknown 2
unobtrusive 1
unplanned 1
use 1
used 1
uses 1
vegans 1
velvets 1
warnings 1
wary 1
was 2
water 1
waterdwelling 1
ways 2
wessej 1
wesshar 12
what 1
when 5
which 5
whispers 1
who 7
will 2
wish 1
with 7
within 3
work 1
years 3
yet 2
