1386288
/m/04yf_d
/m/04yf_d
Robin Hobb
1998-01-09
a 26
aboard 1
adjust 1
after 2
all 3
allegiance 1
also 1
alternative 1
althea 8
ambitious 1
among 1
an 1
ancestors 2
ancient 1
and 10
another 1
are 1
around 1
as 4
assumed 1
at 2
awakens 1
back 1
be 1
because 1
become 2
becomes 2
before 1
begins 1
being 2
believes 1
bingtown 5
bitterness 1
blood 1
board 3
bond 1
book 1
borders 1
bought 1
brashen 3
by 3
can 1
cant 1
capable 2
captain 3
capture 1
captured 1
causes 1
centered 1
chalced 2
chalcedean 1
charter 1
citizens 1
come 1
comes 1
command 1
contributed 1
control 1
crafty 1
crew 2
crossing 1
current 1
customs 1
daughter 1
death 1
debt 1
denied 1
desires 2
despite 1
die 1
dies 1
discovers 3
disgraced 1
disguised 1
dispute 1
elderling 1
entering 1
ephron 1
even 1
events 1
family 7
father 2
finds 1
first 1
flagship 1
fleet 1
follows 1
for 2
force 1
foresight 1
former 1
fortune 1
fortunes 1
free 1
freed 1
frees 1
friends 1
from 4
gain 1
generations 1
get 1
gift 1
given 2
giving 1
goods 1
grandmother 1
growing 1
had 3
hard 1
has 4
have 3
he 7
headed 1
hell 1
her 9
him 2
his 6
however 3
husband 1
if 1
ignore 1
ignored 1
in 3
influence 1
installment 1
is 10
it 3
its 1
jamaillia 3
joins 1
keffria 1
kennit 6
king 1
kyle 6
leader 1
leads 1
life 1
live 1
liveship 9
mad 1
made 2
magic 1
magical 1
man 2
manages 1
mate 1
meaning 1
memories 1
more 1
mystical 1
name 1
never 1
next 1
of 18
off 1
on 8
only 2
ophelia 1
ordered 1
outrage 1
overboard 1
own 1
owned 1
owners 1
ownership 1
perilous 1
persuasion 1
pirate 5
plundered 1
position 1
priest 1
priesthood 1
profitable 1
prominent 1
promises 1
proof 1
properties 1
prove 1
proves 1
pursues 1
quickened 1
quickening 1
quickens 2
rain 4
realizes 1
relative 1
requires 1
restore 1
river 1
romantic 1
ruin 1
said 1
sail 1
sailor 1
same 1
sea 1
seamanship 1
seaworthiness 1
see 1
sentient 1
separate 1
series 2
serve 1
serving 1
sets 1
she 3
ship 18
ships 1
shocked 1
showing 1
sister 1
slaughtership 1
slaughteship 1
slave 2
slaver 2
slavers 1
slaves 3
son 2
spreading 1
still 1
story 1
substance 1
takes 1
targets 1
tenira 1
than 1
that 10
the 56
their 2
then 2
these 1
they 1
three 1
throughout 1
throwing 1
ticket 2
time 1
to 22
torn 1
townships 1
trade 3
trader 3
traders 1
trell 1
true 1
turn 1
unable 1
under 3
unfortunately 1
unite 1
until 1
valuable 1
vessels 1
vestrit 4
vestrits 2
vivacia 7
wants 1
was 1
when 3
which 3
while 1
who 6
whom 1
wild 2
wilders 1
wilds 1
wintrow 2
wishes 1
with 5
without 2
wizardwood 2
works 1
world 1
would 2
younger 1
