5874622
/m/0466pdx
/m/0466pdx
Piers Anthony
1986-09-12
a 17
absence 1
abstinence 1
accomplished 1
adopting 1
after 1
afterlife 1
against 2
all 1
allowing 1
alltime 1
ameliorate 1
an 7
and 20
any 1
anymore 1
apocalypse 1
are 2
armageddon 1
armed 2
arranged 1
arranges 2
as 6
at 4
backfires 1
balance 2
bar 1
battle 1
became 1
become 2
being 2
between 1
blocking 1
book 1
brawls 1
bring 1
brink 1
bulwark 1
but 2
by 6
can 1
caused 1
certain 1
cessation 1
children 1
circumstances 1
circus 1
clock 1
close 1
companion 1
concede 1
concedes 1
conflict 2
conflictevery 1
conflicts 2
confrontation 1
counts 1
course 2
crux 1
current 1
day 1
days 1
debt 1
decides 1
decision 1
decreased 1
defeat 1
defies 1
democratic 1
demoness 1
discovered 1
does 1
doomsday 1
during 1
earth 3
eminently 1
employing 1
employs 1
encouragement 1
end 2
ends 1
escalate 1
escape 1
even 1
eventually 1
every 1
everywhere 2
evil 1
facilitating 1
fairly 1
famous 1
father 2
favourable 1
fictional 1
fighting 1
final 1
finally 1
five 1
for 7
forced 1
forces 1
from 3
fruitionjudgement 1
fulfill 1
geopolitical 1
get 2
given 1
global 1
goal 1
god 1
godie 1
good 1
government 1
greater 1
handicap 1
handled 1
happen 1
happens 1
has 2
have 1
he 7
hell 1
her 2
high 1
him 4
his 13
history 1
hoping 1
how 1
however 2
human 2
importances 1
important 1
in 12
incarnation 3
increased 2
indian 1
inexperienced 1
instead 1
international 1
into 3
is 15
joining 1
judgment 1
just 1
kaftan 1
last 1
law 1
learns 1
led 1
lessons 1
life 2
living 1
lost 1
loves 1
loving 1
lowers 1
luna 1
make 1
managed 1
manipulate 2
manipulated 1
marriage 2
marry 1
mars 4
martial 1
meets 1
minor 1
minute 1
miyamoto 1
musashi 1
mym 7
name 1
nave 1
need 1
new 1
nonviable 1
normal 1
not 4
objective 2
of 25
office 3
officeholder 1
on 7
oneonone 1
only 1
opportunity 1
orb 1
others 1
overall 1
overcome 1
own 2
part 1
passes 1
peace 1
plan 1
plans 1
plot 2
political 1
position 2
powers 1
previous 1
prince 1
princess 1
process 2
progression 1
promote 1
prophecy 1
proportion 1
rapture 3
ready 1
realizes 3
recommenced 1
relative 1
replacement 1
response 1
responsibility 1
result 1
results 2
retires 1
returns 1
revolution 1
rings 1
rise 1
route 1
satan 12
satanhe 1
secured 1
separate 1
she 2
sidelined 1
signifier 1
signifying 1
situation 1
so 1
some 2
song 1
soon 2
souls 3
specific 1
squabbles 1
stand 1
state 1
stepped 1
stutter 1
subtle 1
subtly 1
such 3
suffering 2
sure 1
surprised 1
sword 1
takes 1
teaches 1
tensions 1
terms 1
terrible 1
that 11
the 36
there 1
this 8
through 3
thus 1
time 3
to 25
trap 1
traveling 1
travels 1
treatise 1
two 1
ultimate 3
unable 1
under 1
underlying 1
unfavourable 1
universe 1
up 2
use 1
very 1
victory 1
violence 3
virtually 1
war 9
wars 1
was 3
way 1
when 1
which 1
who 1
with 1
withdraw 1
world 5
worldnot 1
worth 1
would 2
yet 1
