4400285
/m/0c0634
/m/0c0634
Rosamunde Pilcher
1987
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
10 1
60s 1
a 4
adult 1
after 1
also 1
an 1
and 4
artist 1
as 1
attack 1
been 1
called 2
children 2
daughter 1
discharged 1
examining 1
father 2
forward 1
french 1
from 3
given 1
has 1
heart 1
her 7
his 1
hospital 1
impetus 1
in 4
including 1
involves 1
is 2
just 1
keeling 1
life 1
much 1
muchyounger 1
novel 4
of 6
off 1
opens 1
own 1
painting 1
parents 1
past 1
penelope 4
pieces 1
pilcher 1
pointofview 1
present 2
published 1
relationships 1
revealed 1
seekers 2
seemingly 1
september 1
shell 2
shifting 1
spin 1
story 1
tells 1
the 11
those 1
time 1
to 3
unconventional 1
was 2
wedding 1
what 1
when 1
which 1
wife 1
with 1
womanhood 1
work 1
wrote 1
young 1
