9411837
/m/0287tt2
/m/0287tt2
Caroline Lawrence
2002-04-01
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 30
able 1
about 2
abuse 1
abusive 1
accepts 1
accompanied 1
acting 1
afraid 1
africa 1
after 3
again 1
alexandria 1
all 6
almost 2
along 1
an 2
and 50
another 1
anything 1
appalled 1
appeals 1
are 13
around 1
arranged 1
arrives 1
as 14
ash 1
ask 1
asks 1
assured 1
at 8
awakes 1
away 7
back 4
backs 1
badly 1
band 1
be 9
beat 1
beating 1
beautiful 1
been 2
before 1
begging 1
begin 3
begins 3
being 4
believing 1
ben 1
between 1
big 1
birch 1
board 2
boat 2
bodyguards 1
bound 1
brandnew 1
broke 1
brother 1
brought 1
bursts 1
but 11
buyer 1
by 10
call 1
camp 2
can 1
cannot 1
catches 1
caught 1
causing 1
cave 1
chaos 1
charisma 1
chest 1
chickpeas 1
children 17
clients 1
coins 1
cold 1
coma 2
comes 1
coming 1
communicates 1
comprehend 1
conferring 1
confides 1
contrives 1
control 2
covering 1
crew 1
crows 1
crucified 1
cups 1
custody 1
cuts 1
daughter 3
daughters 1
day 1
death 1
decides 1
deck 2
determined 1
devastation 1
dinner 1
disappearance 1
disappearing 1
doctor 1
does 3
doesnt 1
dog 2
doing 1
done 1
dont 1
down 2
drew 1
drown 1
drugged 1
effort 1
emperor 1
enemy 1
entire 1
erupted 1
eruption 1
escape 2
estate 1
every 1
everything 1
everywhere 1
except 1
expanding 1
explains 1
fall 1
families 2
father 2
fathers 1
felix 13
felixs 5
fifty 1
fighting 1
find 4
finds 1
first 2
fit 1
flavia 21
fleeing 1
flogging 1
floor 1
flower 2
flute 3
followed 2
for 13
forced 1
found 1
four 2
free 5
freedman 1
friend 1
friends 5
from 4
furniture 1
gain 1
gaiuss 1
gang 2
get 2
girl 2
girls 1
given 1
gives 1
goes 1
going 1
gold 1
good 1
got 1
grotto 3
group 1
guesses 1
guest 1
had 2
hallucinate 1
hallucinations 1
happens 1
has 9
hatch 1
hated 1
have 5
he 9
head 1
hearing 1
help 4
helping 1
her 25
herself 2
hesitates 1
hide 1
hilltop 1
him 4
himself 1
hired 1
his 15
house 6
how 3
huddled 1
hunt 1
idea 1
if 2
ignoring 1
illness 1
in 11
including 1
infirmity 1
initially 1
injured 1
instant 1
instead 1
intimidate 1
into 6
invited 1
is 15
it 2
its 3
job 1
join 1
joined 1
jokes 1
jonathan 11
jonathans 1
