16618146
/m/03yfbjs
/m/03yfbjs
Wei Hui
1993
25yearold 1
a 9
affair 1
after 1
afterwards 1
an 2
and 9
another 1
are 1
artist 1
at 1
attracted 1
author 1
begin 1
betrayal 1
between 1
businessman 1
by 1
cafe 2
character 1
charged 1
coco 6
collection 1
conflicting 1
deceit 1
despite 1
drugs 1
expatriate 1
extreme 1
feelings 1
feels 1
first 1
for 1
frank 1
frequent 1
friends 1
from 1
german 1
her 5
herself 1
highly 1
him 1
however 1
impotent 1
in 4
increasing 1
into 1
involved 1
is 4
job 1
leaves 1
life 1
living 1
love 2
lovers 1
lust 1
main 1
man 1
mark 1
married 1
meets 2
moves 1
named 1
narrator 1
nikki 1
novel 3
objections 1
of 3
one 1
or 1
parental 1
physical 1
previous 1
publishing 1
reclusive 1
semifictionalised 1
sexually 1
shanghai 2
shanghainese 1
she 3
short 1
shortly 1
stories 1
success 1
supposedly 1
tenderness 1
the 5
throws 1
tian 4
to 4
tormented 1
torn 1
tries 1
trying 1
two 2
uncontrollably 1
understand 1
unfinished 1
user 1
version 1
waitress 1
wants 1
what 1
who 1
whom 1
with 1
woman 1
write 1
writing 1
young 1
