31792756
/m/0gvv8rb
/m/0gvv8rb
Derek Landy
2011-09-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
12 1
300 1
a 19
about 4
admit 1
advice 1
after 6
again 2
against 1
agents 3
air 1
airport 1
all 1
almost 1
also 1
altered 1
although 2
ambush 1
ambushed 1
amnesty 1
an 5
and 59
angered 3
another 2
antechamber 1
apocalypse 1
apparition 1
appeared 1
appears 1
are 2
armour 2
arrest 3
arrested 1
as 2
asks 1
assassinate 1
at 6
attack 1
attacks 2
attempt 4
attempted 1
attempts 2
attend 1
aware 2
away 3
back 4
ball 3
battling 1
be 1
beach 1
beaten 1
beats 1
becomes 1
been 3
before 2
beg 1
being 1
berates 1
bespoke 1
bison 1
blackmailer 1
blows 1
book 1
both 1
bothering 1
box 3
breach 1
breaches 1
break 2
breaking 1
breaks 2
bring 1
bringer 1
brutally 1
burden 1
bury 1
but 16
by 10
caelan 3
caelans 1
call 1
came 1
can 2
captured 1
carries 1
caves 1
chase 2
china 5
cleaver 2
cleavers 1
cleric 1
closing 1
comes 1
confronted 1
confronts 2
constantly 1
contempt 1
convince 1
cottage 1
countryside 1
craven 8
creatures 1
darquesse 4
daughters 1
dead 3
death 1
defeats 1
delay 2
delayed 1
delaying 1
die 1
dies 1
different 1
dimension 1
disappears 1
discovering 1
discovers 1
disguise 1
dispatched 1
doctor 1
doesnt 1
doing 1
door 3
drag 1
dragonclaw 2
drive 1
drives 2
dunne 2
dying 1
each 1
easily 3
elders 1
eliza 2
embarrassed 1
emerges 1
end 1
engage 1
enjoying 1
enter 1
entrance 1
erskine 1
escape 1
escapes 1
eventually 2
exit 2
faces 1
fail 1
fails 1
family 1
fend 3
fergus 2
fights 1
figures 1
finally 1
find 9
finds 3
first 2
fletcher 6
fletchers 1
flickering 1
follows 1
for 5
forces 1
form 2
from 7
fueled 1
future 1
gallow 1
get 2
ghastly 2
girls 4
give 1
given 2
go 1
gone 1
gordon 3
grant 2
ground 3
group 4
gunmen 1
had 1
half 2
has 4
have 2
he 11
help 2
helps 1
her 23
here 1
herself 1
hide 2
highly 1
hill 1
him 14
himself 1
hiring 1
his 6
home 4
hostile 1
house 2
hurt 2
images 1
immediately 1
important 1
in 20
influential 1
injure 1
inside 1
interrogate 1
interrogating 1
interrupted 1
intervenes 1
into 10
is 24
it 6
jaron 1
jitter 3
joins 1
journalist 1
just 1
kenny 3
kill 2
killed 1
killer 2
killing 3
kills 2
knocks 1
landed 1
late 1
later 6
latest 1
leave 1
let 1
library 2
little 1
location 1
locked 1
london 1
lord 2
love 1
loves 1
lynch 1
madam 1
magic 6
making 1
man 1
manage 2
manages 5
mange 1
many 1
matter 1
meanwhile 3
medical 1
meeting 1
meets 1
melancholia 16
mentally 1
missed 1
mist 1
moore 3
mortals 1
mother 1
mugged 1
murder 1
murderous 1
must 1
named 1
near 1
necromancer 3
necromancers 8
need 1
network 1
next 1
night 1
no 2
normal 1
not 3
nye 1
obeys 1
occupants 1
of 21
off 7
old 2
on 3
only 3
order 1
orders 3
other 5
others 1
our 1
out 6
overpowering 1
overpowers 1
pain 1
pair 6
passage 3
paul 3
physically 1
places 1
plans 1
police 1
population 1
position 1
power 1
powerful 2
prevented 2
promises 1
psychic 1
quickly 1
quiver 1
rage 2
ravel 1
reach 1
reaching 1
ready 1
real 1
reason 1
receive 1
receiving 1
reducing 1
reflection 1
refuse 1
relieves 1
remaining 2
reminding 1
requiem 1
rescues 1
residence 1
retirement 1
returns 3
reveal 1
revealed 3
reveals 5
reverting 1
rip 1
rival 1
rob 1
rock 1
runs 2
rushed 1
sacrifices 1
sanctuary 5
scorn 4
sea 1
secret 1
see 1
seeing 1
seen 1
sees 1
selves 1
serious 1
several 1
severely 1
shadow 1
shaken 1
she 17
shocks 1
shooting 1
shoulders 1
shreds 1
sides 1
siege 2
skeleton 1
skulduggery 28
sneak 1
so 2
someplace 1
something 2
soon 3
sorcerers 3
spies 1
spoke 1
spots 1
spotted 1
start 1
starts 1
station 1
stay 1
stealthily 1
still 1
stop 3
stops 2
stray 1
stronger 1
subconsciousness 1
succeeds 1
surface 1
surge 1
surprised 1
switched 1
symbols 1
tactic 1
take 2
takes 1
tattooing 1
teach 3
teleport 1
teleportation 1
teleports 1
tells 4
temple 7
temples 1
tenebrae 3
terrified 1
that 19
the 83
their 2
them 12
themselves 2
then 10
there 1
they 8
this 3
throat 1
through 3
throws 1
tie 1
tires 1
title 1
to 64
treated 1
tries 2
triplets 1
trying 2
turn 1
turning 1
turns 1
twins 1
unable 1
unconscious 1
under 1
underneath 1
unlock 1
unstable 1
until 1
up 5
uses 2
valkyrie 40
valkyries 1
vampire 1
very 1
via 1
vile 8
visions 2
visit 2
voice 1
wakes 1
walking 1
walks 2
ward 1
warlock 2
warrant 3
was 9
watches 1
way 2
were 1
when 13
where 2
which 2
while 5
white 2
who 19
will 2
willow 1
with 8
within 1
woman 2
wooden 1
woods 1
work 1
world 4
worlds 1
wreath 7
yet 2
