24120216
/m/07kbqhd
/m/07kbqhd
Pat Conroy
2009-08-11

16 4
18 1
a 41
aborted 1
about 1
act 1
actress 1
affluent 1
after 6
aids 1
alcoholic 1
all 1
also 1
among 1
an 4
and 53
another 1
antics 1
antique 1
apart 1
appearing 1
appears 2
are 3
area 2
around 1
as 3
assailant 1
at 8
attempt 1
attention 1
awakens 1
away 2
back 2
bakes 1
bank 1
be 7
because 1
become 1
been 2
before 2
befriend 1
begins 1
begs 1
behavior 2
behind 1
betty 2
between 2
black 2
bloom 1
bloomsday 2
boldly 1
broad 1
brother 2
building 1
but 3
by 5
can 2
care 1
cared 1
case 1
catastrophic 1
catholic 2
chad 3
chairs 1
character 1
characters 4
charleston 7
childhood 1
children 1
city 2
clinging 1
close 1
club 1
coach 4
cocaptain 1
collection 1
column 1
columnist 1
coming 1
committed 1
community 1
companion 1
conclusion 1
conditions 1
confidence 1
confronts 1
contact 1
continues 2
convent 1
convinces 1
cookies 1
correspondence 1
country 1
criminality 1
crumbling 1
cultural 1
damaging 2
daring 1
darkened 1
death 1
deceased 1
decides 2
delivery 1
dementiacrippled 1
desire 1
despite 1
detailing 1
determined 1
devastating 1
died 1
differences 1
discover 2
discovered 1
divided 1
down 1
dramatic 1
dreams 2
drowning 1
due 3
during 4
dying 2
each 1
effects 1
embarrassing 1
emotionally 1
encounter 1
encourage 1
ends 1
enraged 1
entering 1
even 2
eventually 1
ever 1
everstrengthening 1
exit 1
experience 1
experiences 1
family 2
fateful 1
father 7
fears 2
female 1
fetuses 1
fiery 1
find 3
finding 1
finds 3
first 1
five 2
flashback 1
flaws 1
flew 1
focuses 1
following 3
follows 1
food 1
football 2
for 8
fortune 1
found 2
four 1
francisco 3
fraser 1
friendly 1
friends 11
friendships 2
frightening 1
from 9
funeral 1
future 2
gathering 1
gay 1
get 1
given 1
go 2
gradually 1
grandmother 1
great 2
group 1
grown 1
grows 1
had 4
has 5
have 1
he 15
headed 1
healthy 1
height 1
her 10
hiding 1
high 4
him 3
himself 1
hints 2
his 24
histories 1
hollywood 1
home 2
hospital 1
house 2
how 1
hugo 1
hurricane 3
husband 2
if 1
ike 1
in 14
incidents 1
including 1
increasing 2
infected 1
influential 1
informs 2
inheritance 1
inside 1
institution 1
integrated 1
intention 1
interrupted 1
into 2
introduced 1
introduces 1
introducing 2
involving 1
is 19
island 1
it 5
its 2
june 1
just 1
kicked 1
killing 1
king 1
lastly 1
later 5
law 1
leads 1
leave 2
left 1
legendary 1
leo 30
leopold 1
let 1
life 6
lifelong 1
live 2
lonely 1
longer 1
looking 1
lose 1
lost 1
love 1
loving 1
luck 1
made 1
major 1
marriage 1
married 1
massive 1
max 4
meanwhile 1
meet 3
meets 4
menacing 1
mental 1
mentallyill 1
molly 6
moment 3
moments 1
monsignor 3
months 1
morning 1
most 1
mother 8
murdered 1
murderer 1
must 2
mystery 1
named 1
narrator 1
neighborhood 1
neighbors 1
never 1
new 2
newspaper 1
night 1
niles 3
no 1
normal 1
normalcy 1
normalizing 1
not 1
now 2
nun 1
nurse 1
occurs 1
of 28
old 2
older 1
on 5
one 2
orphan 1
orphans 1
other 1
out 4
outbreak 1
paperboy 1
parole 2
part 5
parts 1
passes 2
peninsula 2
performs 1
period 1
person 1
persons 1
philandering 1
platonic 1
poe 2
police 1
poor 1
pornographic 1
porpoise 1
positive 1
pregnant 1
prepares 1
previous 1
priest 2
private 1
problems 1
propose 1
proves 1
psychiatrist 1
raping 1
reach 1
reader 3
rebuilds 1
recommendation 1
recovers 1
refuses 1
relations 1
relationship 2
remain 1
remains 1
rescue 2
respective 1
results 1
retraces 1
return 2
returns 2
revealed 1
reveals 8
revelation 1
rich 1
romantically 1
ruins 1
runin 1
safety 1
san 3
school 2
schools 1
sealed 1
security 1
seeking 1
seems 1
separated 1
series 4
set 2
several 1
severe 1
shaped 1
shattering 1
she 4
sheba 11
shed 1
shocking 1
shopkeeper 1
shows 1
since 1
son 2
soon 2
soontobe 1
source 1
south 1
spite 1
starla 6
steadily 1
steve 2
store 1
stories 1
storm 2
story 5
street 1
stretches 1
strict 1
struggles 1
success 2
sudden 1
suicide 3
sullivan 1
summer 1
surge 1
suspects 1
take 1
talented 1
tape 1
tasks 1
team 3
teenage 1
teens 1
tenderloin 1
terrifying 1
terrorizes 1
that 16
the 57
their 7
them 1
then 4
they 2
though 2
threats 2
three 2
through 1
thus 1
tied 1
tighter 1
time 3
times 1
tip 1
to 39
together 4
tradd 1
trapped 1
traumatic 1
traumatized 1
trevor 15
tributes 1
troubled 1
turn 1
twenty 1
two 4
unforeseen 1
unite 1
unlikely 1
untying 1
up 1
victims 1
video 1
violent 1
virus 1
volunteering 1
vows 1
was 2
week 1
weight 1
were 1
when 2
where 3
which 4
white 1
who 15
whom 2
wife 1
will 5
wins 1
with 12
work 1
would 2
wound 1
writes 1
yacht 1
years 2
young 1
