8713813
/m/027fyqw
/m/027fyqw
Georgette Heyer
1934
{"/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0c3351": "Suspense"}
a 10
accidentally 1
act 1
actions 1
activities 1
affair 1
affirms 1
after 1
against 2
agreed 1
also 1
amounts 1
an 3
and 31
anonymous 1
anxious 1
anyway 1
are 3
arrives 1
as 3
association 1
at 5
attempts 2
attending 1
attends 2
away 2
back 2
badly 1
ball 3
be 2
bear 1
beaten 1
because 3
becomes 1
before 2
befriends 1
begin 1
begins 1
being 1
believes 1
broken 1
brooch 9
brother 2
bumps 1
bushes 1
business 1
but 6
by 2
calls 1
can 1
cant 2
card 1
cards 2
caroline 1
carriage 4
carriages 1
coerce 1
confesses 2
confused 1
continues 2
continuing 1
convincing 1
country 4
court 1
cousin 2
day 1
days 1
deal 1
debtridden 1
decides 2
decision 1
declines 1
disappointed 1
discovering 1
disguised 1
disregards 1
distant 1
distinctive 1
doesnt 1
domino 2
donations 1
drelincourt 3
dress 1
dresses 1
drown 1
during 1
earl 12
earlier 1
eligible 2
elizabeth 3
elope 1
end 1
entertainments 1
escape 1
escort 1
estate 3
eventually 1
excellent 1
explain 1
explains 1
fallen 1
family 1
far 1
fashionable 1
favour 1
feelings 3
fills 1
financial 1
fixing 1
followed 1
for 7
forbidden 1
forth 1
fortunes 1
found 1
free 1
friend 1
friendship 2
from 7
furious 2
gain 1
gains 1
gambling 1
game 2
get 1
getting 1
gives 1
go 1
goes 1
gown 1
had 1
hair 2
hands 1
happened 1
happens 1
has 8
have 1
having 2
he 8
hear 1
heard 1
heirloom 1
her 34
heroically 1
herself 1
hidden 1
highwaymen 1
him 4
himself 1
his 18
hold 2
holdup 1
home 1
horatia 24
house 2
however 2
husband 4
if 1
immediately 1
impoverished 1
in 10
inappropriateness 1
incapacitates 1
indignant 1
insinuation 1
instead 2
intends 1
interfere 1
into 3
is 11
it 2
jealous 1
jewels 1
journey 1
kidnapped 1
kiss 1
knock 1
knowing 1
lady 5
learning 1
leaves 1
leaving 1
less 1
lesson 1
lethbridge 21
likeable 1
lock 2
london 2
loneliness 1
lord 4
loses 1
louisa 1
love 1
make 1
makes 1
manages 1
marriage 2
marry 2
marrying 1
mask 2
masked 1
masquerading 1
massey 4
matters 1
meanwhile 2
meeting 2
meets 2
men 1
midnight 1
miserable 1
mistress 1
money 1
mr 3
nearby 1
news 1
next 1
not 3
note 2
obliged 1
of 11
off 2
on 10
out 4
outfits 1
overtakes 1
own 2
part 1
pavilion 1
pelham 5
place 2
plan 1
play 2
player 1
playing 1
polite 1
pommeroy 2
popular 1
posse 1
possession 1
process 1
proposes 2
proposing 1
quickly 1
realise 2
receives 1
reciprocated 1
recovered 1
recovering 1
regular 1
relationship 1
relents 1
remain 1
rescue 1
resigns 1
restore 1
restored 1
returns 3
revenge 2
rides 1
ripping 1
road 1
role 1
ruin 1
rule 15
ruse 1
rushes 1
same 1
save 1
saying 1
see 1
seeks 1
sensational 1
sent 1
set 2
sets 2
several 1
share 1
she 15
sister 2
society 1
spending 1
staging 1
start 1
steal 1
steals 1
steps 1
still 2
support 1
surprised 1
swordfight 1
tacitly 1
take 1
taken 2
takes 1
teach 1
that 10
the 37
their 1
they 5
thinking 1
this 1
thus 1
thwarting 1
to 39
town 1
true 1
two 1
unsuccessful 1
up 4
upon 3
vast 1
vauxhall 1
very 1
wants 2
warning 1
warns 1
way 1
wealthy 1
wedding 1
what 1
when 6
where 2
which 1
while 2
who 4
why 1
wife 2
will 3
wins 1
winwood 1
with 12
wounds 1
wrests 1
years 1
youngest 1
