4473306
/m/0c4d_b
/m/0c4d_b
Beatrix Potter
1906
a 26
about 1
again 1
alderman 1
amongst 1
an 1
and 20
are 1
arranges 1
as 1
at 2
back 1
bag 1
bank 1
basket 1
been 1
beetle 1
before 1
bite 1
black 1
boat 1
bottle 1
bottom 1
bounces 1
break 1
brings 1
bubbles 1
but 6
buttercups 1
butterfly 1
catch 1
catches 1
cold 1
come 1
cork 1
crosslegged 1
damp 1
day 1
dearest 1
decides 1
describes 1
dinner 1
dish 1
dives 1
drops 1
eats 1
edge 2
enormous 1
escapes 1
ever 1
feet 1
few 1
finds 2
fingers 3
fish 1
fisher 1
fishes 1
fishing 2
five 1
float 1
for 1
force 1
friends 2
frog 2
from 1
getting 1
go 2
gold 1
goloshes 2
good 1
grass 1
grasshopper 1
has 4
have 1
he 14
him 2
his 16
home 1
hops 2
horsehair 1
hour 1
house 1
immediately 1
in 4
into 1
invite 1
is 4
isaac 2
it 3
jack 2
jeremy 10
keeps 1
knows 1
ladybird 1
larder 1
last 1
laugh 1
like 1
likes 1
lilypad 2
line 2
little 4
lives 1
location 1
lunches 1
macintosh 2
meadow 1
minnow 1
minnows 2
more 1
mr 1
must 1
narrator 1
nasty 1
never 2
newt 1
newton 1
nibble 1
no 1
not 2
of 5
off 1
on 5
once 1
one 2
only 1
out 2
owowow 1
pages 1
passage 1
passes 1
place 2
plaster 1
poles 1
pond 2
prepared 1
pricks 1
ptolemy 2
put 1
puts 1
quite 1
raining 1
rats 1
red 1
rises 1
roasted 1
rod 2
rushes 1
rustling 1
safer 1
salad 2
sandwich 1
sauce 1
scolds 1
scrambles 1
screams 1
seek 1
seizes 1
sets 1
sharp 1
shiny 1
shoal 1
should 1
sir 1
sits 1
slippysloppy 1
snap 1
soda 1
sore 1
spines 1
spits 1
stalk 1
sticking 1
stickleback 1
string 1
sucks 1
sure 1
surface 2
swallowing 1
swims 1
tackle 1
takes 2
tasteless 1
than 1
the 21
there 1
thinks 1
through 1
to 10
toe 1
tortoise 2
treat 1
trout 2
tweaks 1
up 2
waistcoat 1
water 6
wears 1
welcomes 1
wet 1
where 1
who 2
will 2
with 4
without 1
