3603849
/m/09pbjc
/m/09pbjc
Christopher Golden
2002-05
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 4
all 1
an 2
and 4
answers 1
around 1
as 2
attempt 1
australia 1
battling 1
be 2
beast 2
been 1
before 1
but 1
cain 1
can 2
china 2
demon 1
determined 1
discover 1
during 1
enemy 1
evil 1
far 1
fiji 1
finally 1
find 1
finds 1
for 3
forces 1
from 1
gathering 1
gib 1
guide 1
has 1
he 4
hiding 1
him 4
himself 2
his 8
hopes 1
human 1
hunter 1
in 4
into 1
is 2
jinan 1
journey 3
just 1
kills 1
la 1
life 1
lifelong 1
lost 1
lycanthropic 1
meantime 1
meets 1
monk 3
more 1
must 1
muztag 1
named 1
of 3
only 1
or 1
out 1
over 1
own 1
oz 4
particular 1
peace 1
problem 1
quest 1
rest 1
running 2
search 1
selfdiscovery 1
sets 1
skin 1
so 1
solution 1
something 1
stopped 1
take 2
takes 2
than 1
the 9
them 1
through 1
tibet 3
to 8
totally 1
travel 1
two 1
valley 1
vampires 1
wants 1
well 1
werewolf 1
where 1
who 3
will 1
within 2
woman 1
world 1
young 1
