23012121
/m/064pv09
/m/064pv09
Susan Price
1987-01-12
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 7
about 1
advisers 1
afraid 1
against 1
all 3
alone 1
an 1
and 15
another 1
apprenticeship 1
arcane 1
around 1
arriving 1
as 3
ascends 1
asks 1
astonishment 1
at 6
await 1
away 1
back 1
be 1
bear 1
becomes 1
before 3
beginning 1
being 1
body 2
breaks 1
but 2
by 3
can 1
capturing 1
cat 2
cats 1
chapter 1
characters 1
childbirth 1
chingis 5
come 1
complete 1
confront 1
congratulate 1
counsel 1
cries 1
czar 3
czarevich 2
dares 1
daughter 1
dead 1
deathly 1
defeat 1
determines 1
dies 2
distress 1
drum 3
each 1
end 1
enlists 1
enter 1
envies 1
executed 1
farida 2
fears 1
fighting 1
filled 1
find 1
finds 1
for 1
form 1
four 1
from 1
ghost 4
ghostworld 1
girl 1
gives 1
glimpse 1
greatness 1
guidon 1
has 2
he 6
head 1
hearerreader 1
help 3
her 9
him 4
his 7
however 1
imprisonment 1
imprisons 1
in 8
including 2
intending 1
introduces 1
is 5
it 1
its 1
kill 1
killing 1
knowledge 1
kuzma 5
land 1
latest 1
learned 1
leave 1
line 1
long 1
make 1
many 2
margaretta 2
marien 2
married 1
may 1
me 1
meanwhile 1
mentor 1
most 1
much 1
nephew 1
never 2
newborn 1
novel 1
nurse 1
of 15
offers 1
old 1
on 2
orders 1
other 1
out 1
over 1
overthrown 1
own 1
palace 2
pass 1
polar 1
potential 1
power 1
pregnant 1
psychic 1
raised 1
raises 1
reach 1
rebirth 1
represented 1
restless 1
return 1
returning 1
riding 1
room 2
rulers 1
ruthless 1
safa 3
scenes 1
secretly 1
seen 1
shaman 1
shamanic 2
she 4
should 1
slave 1
so 2
son 2
speak 1
spends 1
spirits 2
succeeds 1
summarily 1
take 1
tale 2
tallest 1
teaches 1
that 2
the 41
then 1
there 1
throne 1
to 15
told 1
tongue 1
top 1
tower 1
use 1
using 1
way 1
when 3
wife 1
windowless 1
wisdom 1
witch 2
witches 1
with 3
woman 2
wonder 1
world 3
worlds 1
years 1
