349907
/m/01z439
/m/01z439
William Gibson
1986
{"/m/01qpc": "Cyberpunk", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
a 16
about 1
above 1
access 1
ai 1
ais 2
all 3
allow 1
almost 1
also 1
altered 1
amateur 1
an 2
and 13
angie 2
another 1
apparently 1
are 4
arizona 1
art 1
as 3
associates 2
at 2
attempt 1
attract 1
aware 1
backers 1
be 2
become 1
becomes 1
becoming 1
been 1
before 1
behind 1
beings 1
best 1
biosoft 5
black 1
bobby 2
book 1
boxes 3
brain 2
brilliant 1
built 1
but 3
by 4
can 2
career 1
carries 1
cf 1
come 1
communicate 1
compartmentalized 1
computer 3
conscious 1
constructed 1
construction 2
contained 1
cornell 2
corporate 2
corporation 1
count 1
creator 1
criminal 1
cyberspace 5
database 1
daughter 2
deal 1
deck 1
desert 1
design 1
designed 1
desires 1
developing 1
different 1
directly 1
disaster 1
disposal 1
earth 1
elaborate 1
else 1
enable 1
encompasses 1
end 2
ends 1
escaping 1
event 1
events 1
eventually 2
evolutionary 1
extremely 1
family 1
father 2
find 1
flatlines 1
for 1
forgery 1
form 1
fortress 1
found 1
fragmented 1
from 2
futuristic 1
gallery 1
gibson 1
girl 1
given 2
gods 2
hacker 1
hackers 1
had 1
haitian 1
has 3
haunting 1
have 2
having 2
he 4
head 1
help 1
her 6
him 3
himself 1
hinted 1
hired 1
his 5
home 1
howard 1
hughes 1
humanity 2
hunted 1
hunter 1
illegal 1
image 1
images 1
immortality 2
implanted 1
in 12
indications 1
industrialist 1
infamous 1
influential 1
information 2
inhabiting 1
insert 1
instead 1
instructing 1
interest 1
interface 1
interferes 1
intertwine 1
into 4
introduced 1
investigate 1
is 11
it 3
jerseysuburbs 1
joined 1
josef 2
joseph 1
jump 1
just 1
kills 1
krushkova 1
later 1
leads 1
life 1
light 1
lines 1
linked 1
loose 1
maas 2
made 2
make 2
malicious 1
market 1
marly 1
matrix 4
may 1
meet 1
mercenary 1
mesa 1
mitchell 3
modification 1
most 2
move 1
multibillionaire 1
multiple 2
mysterious 1
nervous 1
net 1
neuromancer 2
new 1
newly 1
newmark 1
not 1
novel 1
now 1
occurrences 1
of 22
omniscience 1
on 2
one 3
only 2
or 1
originally 1
others 1
out 1
owner 1
paris 1
patron 1
people 1
physically 1
piece 1
plans 1
plot 1
plugs 1
power 1
powerful 1
program 1
reason 1
recent 1
reclusive 1
recruited 1
related 1
reluctant 1
remains 2
representations 1
researcher 1
resembling 1
result 1
revealed 1
rockefellerlike 1
runs 1
saves 1
savior 1
scientist 1
secretly 1
secrets 1
see 2
selfnamed 1
sell 1
sent 1
sentient 1
series 2
she 3
similar 1
small 1
so 2
software 2
soldier 1
some 1
something 2
southwestern 1
spooks 1
story 1
storyline 1
strange 1
style 1
sudden 1
supposedly 1
suspects 1
synergistic 1
system 1
talk 1
tessierashpools 1
test 1
that 7
the 40
themselves 1
then 1
there 2
these 4
they 2
thing 1
this 4
thread 5
threads 1
three 2
through 1
to 17
together 2
tricked 1
trying 1
turner 2
two 3
ultrarich 1
unaware 1
unbeknownst 1
understandably 1
unhooks 1
units 1
unknown 1
unlimited 1
until 1
up 1
usa 1
valuable 1
very 1
virek 5
voodoo 3
was 1
weird 1
what 1
when 1
which 3
who 1
wintermute 1
with 6
without 1
working 1
works 1
world 1
worldwide 1
young 2
zero 1
