20216422
/m/04y69bc
/m/04y69bc
John Flanagan
2008-11-04
a 12
abdicates 1
able 1
accepts 1
accuse 1
acting 1
after 1
against 1
alseiass 1
also 1
although 1
alyss 1
an 2
and 18
angry 1
annual 2
any 1
apprentices 2
araluen 1
are 6
arm 1
around 2
arrives 1
as 3
ask 1
asks 1
assassins 2
assigns 1
at 3
attend 1
back 1
ball 1
barely 1
be 1
been 1
before 2
begin 1
best 1
boats 1
bodyguards 1
book 1
brother 3
build 1
burning 1
by 7
called 1
camp 1
capture 1
care 1
causing 1
ceremony 1
chain 1
challenges 1
childhood 1
clearly 1
clonmel 1
coated 1
country 1
crowley 5
current 1
deal 1
does 1
doing 1
drugged 1
duel 2
ending 1
escapes 1
expecting 1
expel 1
eyes 1
fake 1
fashion 1
feast 1
fief 3
finds 1
first 1
follow 1
for 1
foreigners 1
friend 2
from 2
gathering 2
genovesans 1
giant 3
girl 1
go 1
god 1
going 1
gold 5
golden 1
governed 1
graduate 1
greeted 1
greets 1
grew 1
group 4
half 1
halt 15
has 3
he 21
here 1
him 2
his 4
horace 7
how 1
in 6
informed 1
investigate 1
investigating 3
is 15
it 2
jenny 1
killing 1
king 4
knight 1
knocked 1
knows 1
leader 3
lives 2
lot 1
made 2
making 1
man 1
manages 3
meanwhile 2
met 1
more 1
moved 1
mysterious 1
nephew 1
never 1
not 3
of 6
omen 1
out 2
outsiders 3
pauline 2
people 2
picta 1
place 1
plot 1
proceeds 1
put 1
puzzled 1
ranger 1
rangers 2
recruited 1
recruiting 1
redmont 1
relationship 1
rides 1
romantic 1
says 1
sean 1
second 1
see 1
sees 2
selsey 1
share 1
shoots 1
small 1
stealing 3
stop 1
sure 1
take 1
takes 1
tells 5
temple 2
tennyson 6
that 4
the 30
their 2
them 4
then 2
there 1
they 6
things 1
this 2
though 1
three 2
throne 1
thus 1
to 17
trail 1
treachery 1
twins 1
two 2
unable 1
unlikely 1
up 1
used 1
village 2
warrior 1
watching 1
waver 1
west 1
what 1
when 3
where 4
which 2
while 2
who 2
wife 1
will 8
winning 1
with 4
wood 1
worthy 1
you 1
