6868571
/m/0gtflp
/m/0gtflp
Dale Brown

a 3
about 1
admiral 1
after 2
against 1
airport 1
altitude 1
america 1
and 2
are 1
at 1
attacks 2
authorities 1
begin 1
cazaux 1
cessna 2
corder 2
country 1
crashed 1
eugene 1
explosives 3
flew 2
found 1
francisco 1
frank 1
grounds 1
guards 1
hardcastle 1
heartland 1
henri 1
horrors 1
house 2
in 2
is 1
lack 1
loaded 1
low 1
newspapers 1
no 1
noted 1
of 2
on 1
overwhelmed 1
plane 1
psychopathic 1
publication 1
san 1
similarities 1
singleengine 1
soon 1
terrorism 1
terrorist 1
terrorized 1
the 11
then 1
to 1
us 1
warns 1
were 1
when 1
white 2
with 2
world 1
wreckage 1
