6869197
/m/0gtgsb
/m/0gtgsb
Peter Straub
1988
{"/m/01jfsb": "Thriller", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 35
about 4
above 1
abused 1
accompany 1
accounted 1
adventure 1
after 5
aftermath 1
afterwards 1
again 1
agreed 1
agrees 1
aimlessly 1
airport 1
alert 1
alerts 2
all 2
alleyway 1
alone 1
along 2
ambivalence 1
america 3
among 1
an 9
and 77
anonymous 1
another 3
anxiety 1
any 2
anything 1
apartment 3
arcade 3
are 5
areas 1
around 3
arrested 3
arriving 1
arrogant 1
article 1
as 6
asia 3
assaulting 1
at 7
atone 1
atrocity 1
attempts 1
attend 1
attracting 1
attractive 1
away 1
back 1
bangkok 4
basement 1
be 3
because 3
become 1
been 4
beevers 16
before 3
begin 1
beginning 1
belatedly 1
believe 1
beloved 1
beneath 1
between 1
bloody 1
body 1
books 1
box 1
briefly 1
brutal 1
brutally 1
building 1
but 5
by 7
call 1
calls 1
can 1
cancer 1
capture 1
card 1
case 1
catch 1
cavelike 1
center 1
chinatown 2
chinese 1
christianity 1
chronicling 1
city 2
classmate 1
classmates 1
clubs 1
coat 2
coded 1
come 1
comes 1
commits 1
committed 2
comrade 1
conor 12
constant 1
construction 1
continue 1
convinces 2
correct 1
could 2
couldnt 1
cousin 1
crisis 1
curiosity 1
darker 1
darkness 3
daughter 1
day 2
days 2
dc 1
death 3
deceased 1
decides 1
deduce 1
delights 1
dengler 16
deserted 1
destroy 1
develops 2
different 1
dim 1
directions 1
disappeared 1
discuss 1
displaying 1
do 1
does 3
dogtags 1
doomed 1
door 1
down 3
draws 1
drinks 2
during 1
each 2
earlier 3
ears 1
easier 1
easily 1
east 1
elephant 1
ellen 4
empty 1
end 2
enough 1
entered 1
enters 1
errors 1
escape 1
escapes 1
evening 1
events 1
explains 1
exposing 1
eyes 1
face 1
fact 2
fail 1
fair 1
fallen 1
far 2
father 3
fervently 1
few 3
fifteen 1
find 5
finding 1
findings 1
finds 1
finish 1
first 1
five 2
flashbacks 1
fled 1
flee 1
fliers 1
flight 2
floor 1
flower 1
for 12
forceful 1
foultempered 1
found 1
four 3
framing 1
francisco 1
friends 1
from 3
front 1
fruitless 1
funeral 1
furthermore 1
gagged 1
gags 1
gains 1
gather 1
george 1
get 2
girlfriend 1
given 1
gives 1
go 2
gone 1
grandeur 1
grief 1
group 4
gruesomely 1
had 7
handcuffs 2
harry 7
has 6
hatred 1
have 4
having 2
he 15
head 1
heard 1
hears 1
heart 1
held 1
help 2
her 4
herself 1
hides 1
hiding 1
him 12
himself 1
his 21
hold 1
holds 1
hole 1
home 1
homicides 1
honduras 2
hoping 1
horrors 1
hostage 1
house 1
however 3
husband 1
illusions 1
imagines 1
in 40
information 1
injured 1
interspersed 1
into 4
iranian 1
is 22
it 7
jacket 1
journeyman 1
judy 1
karl 1
killed 1
killer 2
killing 2
killings 2
knife 4
knocks 1
koko 18
kokoa 1
kokodengler 4
lah 1
landmarks 1
later 4
lawyer 1
lead 2
leads 1
learns 1
left 1
letting 1
level 1
library 1
lieutenant 1
life 2
light 1
lightbulb 1
linklater 2
live 2
lives 1
loft 2
lower 1
lunch 1
lure 1
made 2
maggie 16
make 1
makes 1
man 6
maniac 1
manny 1
many 1
market 1
marriage 1
may 1
meant 1
meanwhile 2
media 1
meet 3
meeting 1
meets 1
member 1
members 2
memorial 1
men 4
merciless 1
message 1
met 1
michael 25
might 1
milling 1
millionaires 1
milwaukee 2
mind 1
mistaken 1
mo 3
mob 1
months 1
more 1
most 1
mother 2
mourn 1
mouth 1
moves 1
mrs 1
much 1
murdered 3
murderer 1
murderous 1
murders 3
murphy 3
name 1
named 2
narrates 1
nearby 1
needs 1
negotiate 1
neighborhood 1
never 1
new 3
news 2
newspaper 1
next 1
no 2
none 1
not 9
notably 1
notice 1
now 1
odd 1
of 42
off 1
officers 1
old 2
on 8
one 3
only 1
onto 1
open 1
opportunistic 1
opposite 1
or 2
other 3
out 4
over 1
owner 1
pair 1
parents 2
park 1
particularly 1
pediatrician 1
people 1
personality 1
philosophical 1
phones 1
plagued 1
plant 1
