9306692
/m/0283t_m
/m/0283t_m
Sally Prue
2002-01-31
a 3
abilities 1
ability 1
able 1
about 3
accepting 1
all 1
aloof 1
also 2
an 2
and 17
animals 1
anna 10
are 1
as 1
at 1
attachment 1
aunt 1
back 1
be 2
beauty 1
become 2
becomes 1
been 1
begins 1
better 1
body 1
brother 1
bursts 1
but 4
by 7
calling 1
cannot 1
care 1
charms 1
closeness 1
completely 1
conditions 1
day 1
demon 1
despite 1
die 1
different 1
discovered 1
distant 1
does 3
dying 2
each 1
edie 6
edrin 1
elf 2
elfin 2
elves 4
emotionally 1
end 2
escape 1
essence 1
everything 1
fact 2
family 1
far 1
fascinated 2
father 1
feels 2
find 1
finds 1
first 1
flames 1
flees 1
for 1
forces 1
forests 1
forget 1
found 1
freezing 1
from 5
get 2
girl 1
given 1
going 1
grow 1
growing 1
half 1
hand 1
hardened 1
has 2
he 9
help 5
helps 1
her 5
him 4
himself 2
his 1
home 2
human 3
in 7
into 2
invisible 2
is 9
it 1
joe 11
just 2
keep 1
larn 2
later 1
learn 1
like 1
living 1
loud 1
loving 1
meets 1
met 1
more 1
murderous 1
named 1
nearby 1
nearly 1
neighbor 1
not 3
of 5
on 2
onceelfin 1
or 1
other 4
out 1
outcast 1
people 1
persistence 1
pet 1
pierces 1
protection 1
puts 1
quickly 1
represents 1
resent 1
resents 1
saves 1
seems 2
sees 1
she 3
shed 1
simply 1
snooping 1
soon 1
sophie 1
spear 1
stars 1
stay 1
stays 1
still 1
stubby 1
stupid 1
surviving 1
takes 1
tells 1
temperature 1
testing 1
tests 1
that 4
the 19
then 2
things 1
thinking 1
this 2
though 1
to 15
tom 23
tool 1
tribe 1
tries 2
try 2
turn 1
turns 1
under 1
understand 2
ungraceful 1
unlike 1
up 3
was 3
weakened 1
weaker 1
weight 1
when 2
which 1
while 1
why 1
with 3
woman 1
woods 1
world 2
worse 1
young 1
