13755557
/m/03ch8nl
/m/03ch8nl
Richard Armstrong
1947
{"/m/026llv5": "Literary realism", "/m/07m5w1": "Sea story", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 12
aboard 1
after 1
afterward 1
already 1
an 3
and 9
apprentice 1
are 2
arrives 1
ashore 1
asks 1
assignment 1
at 3
barbados 1
because 1
becomes 1
becoming 1
been 1
boca 1
bunkmate 1
but 1
by 1
cam 6
captain 2
carey 1
cargo 1
chief 1
childish 1
crew 2
daring 1
daywork 1
del 1
derelict 1
devises 1
dissatisfied 1
during 1
earnest 1
escape 1
excellent 1
executes 1
few 1
fictional 1
find 1
for 3
futile 1
getting 1
gives 1
go 1
hand 1
has 2
haunted 1
he 10
heading 1
him 2
his 4
home 1
however 1
in 4
injustice 1
is 5
join 1
knowledge 1
langdale 1
liverpool 1
local 1
main 1
make 1
mate 4
matter 1
misunderstanding 1
navigation 1
night 1
odds 1
of 7
officer 1
one 1
opportunity 1
outward 1
own 1
part 1
poltergeist 1
prison 1
progress 1
put 1
rankling 1
rare 1
rather 1
reach 1
realizes 1
renton 1
routine 1
rusty 1
salvaged 1
scheme 1
seaman 1
seamanship 1
seaport 1
semaphore 1
sense 1
ship 2
short 1
showing 1
shrift 1
skeleton 1
sol 1
someday 1
soon 1
spanish 1
starts 1
study 1
takes 1
tells 1
than 1
thanks 1
that 1
the 14
themselves 1
they 1
think 1
this 1
to 8
towards 1
training 2
truths 1
two 1
under 1
use 1
venezuela 1
voyage 1
watches 1
well 1
when 3
whistling 1
with 1
work 1
working 1
year 1
