25117577
/m/09g67bn
/m/09g67bn
Ihara Saikaku
1686

a 6
an 1
and 3
as 1
at 1
based 1
being 1
born 1
but 2
capital 1
causes 1
city 1
court 1
courtesan 1
crawl 1
daimyo 1
daughter 1
downward 1
each 1
ever 1
experiences 1
fail 1
family 1
film 1
finds 1
friends 1
from 2
goes 1
grass 1
her 4
herself 1
hut 1
in 5
is 1
kenji 1
kyoto 1
kyushu 1
life 3
listen 1
lives 2
loses 1
man 1
meet 1
mistress 1
mixed 1
mizoguchi 1
nature 1
nobles 1
novel 1
of 7
oharu 1
old 1
own 1
pleasure 1
privileged 1
sagaken 1
she 4
some 1
stage 1
station 1
status 1
story 1
streetwalker 1
the 7
they 1
this 1
through 1
to 5
travels 1
tries 1
trouble 1
tumbling 1
up 1
upon 1
was 1
which 2
who 2
with 2
woman 1
world 1
