7021636
/m/0h0qzm
/m/0h0qzm
Katherine Paterson
1978-03-29
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 4
after 1
airport 1
all 1
also 1
and 8
another 1
as 1
at 2
be 2
because 3
become 1
been 1
beloved 1
birth 1
brash 1
but 2
by 2
came 1
caught 1
color 1
come 3
comes 1
coming 1
courtney 6
days 1
decides 1
didnt 1
different 1
disapppointed 1
doesnt 1
down 1
escape 1
escapes 1
expect 1
fat 1
finds 1
first 2
foolish 1
for 2
foster 1
francisco 1
galadriel 1
get 1
gets 2
gilly 12
girl 1
go 1
goes 2
going 2
good 1
got 1
grandmother 1
had 1
hair 1
has 3
hatches 1
hate 1
hates 1
have 1
her 14
home 3
hopkins 2
house 2
how 2
immediately 1
in 2
initially 1
into 1
is 5
just 1
knows 1
letter 1
life 1
like 1
lives 1
living 2
looks 1
lot 1
loved 1
mean 1
mother 5
news 1
nonnie 4
not 2
now 1
of 2
only 1
other 1
out 1
paid 1
passed 1
people 2
picked 1
plan 1
police 1
quickly 2
realizes 2
really 4
remembers 1
rest 1
retrieve 1
rutherford 1
san 1
saying 1
settle 1
she 16
so 1
some 2
soon 1
station 2
take 1
tells 1
that 5
the 8
then 1
things 1
time 3
to 16
train 1
trotter 5
trotters 1
trouble 1
unfortunately 1
up 1
usual 1
wanted 2
wants 2
was 2
when 2
while 1
whiter 1
who 1
will 2
with 4
writes 1
young 1
