9969109
/m/02pydmh
/m/02pydmh
Lionel Davidson
1994
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 6
across 1
addressed 1
and 4
as 2
border 1
british 1
canadian 1
coded 1
columbia 1
consequences 1
deep 1
detailed 1
disguises 1
east 1
evenks 1
far 1
for 2
forced 1
from 1
frozen 1
genius 1
gitxsan 1
he 2
help 1
imagines 1
impressive 1
in 2
indian 1
is 4
johnny 1
kolyma 1
laboratory 1
languages 1
life 1
little 1
message 1
mission 1
native 1
note 1
of 7
on 1
out 1
peoples 1
picture 1
plea 1
porter 1
region 1
reluctantly 1
rescue 1
russia 1
russian 1
siberia 1
slip 1
smuggled 1
such 2
supersecret 1
the 11
to 2
tribe 1
tsimshian 1
wastes 1
which 1
with 1
