27290112
/m/0by1qv4
/m/0by1qv4
Zhong Acheng


160s 1
170s 1
a 11
ability 1
about 3
after 2
all 1
also 1
always 1
among 1
an 3
and 11
any 1
are 2
arrives 1
at 3
attend 1
be 2
beats 1
because 1
become 1
before 1
blind 1
boards 1
but 2
challenge 2
challenges 1
chess 14
china 1
chinese 1
could 1
countryside 2
couple 1
current 1
daoism 1
day 1
debark 1
decide 1
defeats 1
devoted 1
did 1
died 1
different 1
disapproved 1
discarded 1
down 1
during 2
early 1
earn 1
easily 1
effectively 1
ends 1
enter 1
eventually 1
everything 1
evolved 1
family 1
farm 3
farms 1
festival 2
friend 4
friends 4
front 1
garbage 1
gathering 1
good 2
habit 1
handles 1
happens 1
he 8
head 1
him 4
his 10
how 4
however 1
impressed 1
in 5
intellectuals 1
is 4
knew 1
knows 1
late 2
later 1
learned 1
legballs 3
local 1
loved 1
made 1
man 3
maniac 1
many 2
master 2
match 1
meets 1
money 1
months 1
most 1
mother 2
mountains 3
movement 1
much 1
narrator 3
not 2
of 10
official 2
old 3
once 1
one 2
out 1
over 1
painstakingly 1
people 2
place 1
play 1
player 1
playing 2
poor 1
principles 1
remote 1
ride 1
sell 1
sent 1
separate 1
set 1
she 3
since 1
spreads 1
story 1
strategy 1
such 1
take 1
takes 2
talk 1
teaches 1
tells 2
that 1
the 26
their 2
them 1
then 1
there 1
to 14
too 1
toothbrush 1
tournament 4
train 2
two 3
unnamed 1
unofficial 1
up 1
using 1
vacation 2
very 3
visits 1
wang 10
want 1
was 2
ways 1
while 2
who 2
winner 1
winners 1
with 2
without 1
word 1
work 1
working 1
yisheng 8
young 1
zh 1
