13074825
/m/02z5jcp
/m/02z5jcp
Michael Morpurgo

{"/m/0dwly": "Children's literature"}
a 8
acts 1
africa 1
after 3
an 1
and 6
asking 1
at 1
away 2
back 2
before 1
befriends 1
being 1
bertie 8
boarding 3
boy 1
brings 1
but 1
butterfly 1
carved 1
chalk 2
circus 1
commemorating 1
cub 1
day 1
deserted 1
died 3
england 1
few 1
fighting 1
find 1
finding 1
finds 1
first 1
for 1
forced 1
france 1
from 2
goes 1
happily 1
he 6
hears 1
heroic 1
hillside 1
him 2
himself 1
house 1
in 7
is 1
it 2
later 1
learns 1
lion 9
live 1
living 1
look 1
many 1
marries 1
meets 1
memorial 1
michael 2
millie 6
months 1
of 2
old 1
one 1
only 1
out 1
part 1
plaque 1
promises 1
rescued 1
returns 1
reunited 1
runs 1
school 4
sneaks 1
sold 1
story 2
teacher 1
tells 1
that 1
the 15
they 1
to 8
told 1
voice 1
war 2
was 2
went 1
when 4
where 1
white 1
who 1
wiltshire 1
with 2
woman 1
world 1
years 1
young 2
