2233267
/m/06xzq3
/m/06xzq3


{"/m/0xdf": "Autobiography"}
13th 1
a 6
abilities 1
adolescence 1
aide 1
alfred 1
all 1
allowing 1
also 1
an 5
and 10
another 1
are 4
aristocrat 1
as 5
asset 1
at 1
attempt 2
auras 1
authority 1
become 1
begins 1
being 1
bell 1
benevolent 1
body 1
book 2
books 1
bring 1
but 1
by 2
can 1
causing 1
ceremony 1
certain 1
challenging 1
charles 1
china 1
chinese 1
conquest 1
contrast 1
country 1
court 2
crucial 1
dalai 2
deemed 1
destruction 1
determine 1
doctor 1
dozen 1
drilled 1
during 3
earlier 1
early 1
earth 1
encounters 1
end 1
enters 1
eye 3
feats 1
for 2
forehead 1
foretold 1
from 1
future 2
gyatso 1
had 1
he 5
help 1
hidden 1
him 3
his 4
history 1
human 1
in 8
incarnation 1
include 1
increasingly 1
independent 1
initiation 1
into 1
invasion 1
is 5
it 1
its 2
kingdom 1
lama 2
lamas 1
learns 1
led 1
lhasa 2
lobsang 2
meets 1
motivations 1
mountain 1
mummified 1
must 1
naive 1
nefarious 1
of 6
on 1
operated 1
others 1
over 1
part 1
people 1
planet 2
popularity 1
prepare 1
preserve 1
prodigious 1
rampa 10
reassert 1
received 1
recognised 2
reign 1
scholar 1
see 1
sequels 1
serve 1
sir 1
son 1
soon 2
spies 1
spy 1
story 3
struck 1
studies 1
takes 2
that 4
the 20
then 1
theological 1
they 1
third 3
thubten 1
tibet 6
to 11
today 1
tuesday 1
two 1
undertakes 1
until 1
up 1
upon 2
visitors 3
was 2
which 2
whom 1
with 1
would 1
wrote 1
yetis 1
young 1
