7591063
/m/0kvc03
/m/0kvc03
Gerald McDermott

a 2
acknowledges 1
adults 1
after 1
an 1
and 2
arriving 1
arrow 2
as 2
asks 2
back 1
because 1
bees 1
boy 5
boys 1
bring 1
by 3
earth 1
endures 1
father 3
finding 1
for 1
four 1
given 1
has 1
he 4
help 1
him 2
his 4
huts 1
identity 1
in 2
into 3
is 5
kiva 4
launches 1
life 1
lightning 1
lions 1
lord 3
maiden 1
maker 1
man 1
men 1
name 1
never 1
no 1
of 10
other 1
passing 1
personal 1
pueblo 2
ridiculed 1
ritual 1
sends 1
sent 1
serpents 1
son 3
spark 1
spirit 1
sun 4
tested 1
the 24
then 1
these 1
through 1
to 3
transforms 1
trials 1
various 1
when 1
who 1
wise 1
world 1
