14560785
/m/03d7ywb
/m/03d7ywb
Louis Chu
1961

a 26
able 1
about 2
abruptly 1
actions 1
addicted 1
advice 1
affair 5
affection 1
affections 1
after 1
ah 9
all 2
allow 1
although 2
america 2
american 1
an 3
and 43
anew 1
another 2
anticipation 1
apartment 4
appears 2
approaches 1
approval 1
are 2
army 1
arouse 1
arrival 2
as 5
ashamed 1
assents 1
assumes 1
at 4
attacks 1
attempts 1
avail 1
avoid 1
awakened 1
away 2
back 6
backwards 1
banquet 1
be 3
beauty 1
because 1
becomes 1
bed 1
before 1
begins 2
ben 25
between 1
big 1
birth 1
both 2
bowl 2
boy 1
bride 3
bring 1
bringing 1
brought 2
busy 1
but 4
by 7
cannot 1
canton 1
catherine 1
causes 1
ceremonial 1
charges 1
child 1
children 1
chin 3
china 4
chinatown 2
chinese 5
chong 1
city 4
claiming 1
close 1
closer 1
closest 1
come 2
community 2
companion 1
concerning 1
concludes 1
confused 1
confuses 1
connecticut 1
consult 1
continues 1
conversation 1
convinces 1
courtesy 1
crazed 1
daughter 1
days 2
dc 1
decide 2
decides 3
decision 1
deeply 2
depicts 1
describing 1
desire 1
deteriorating 1
devoted 1
discovers 1
discretion 1
distract 1
divulging 1
doctor 3
does 1
doorbell 1
during 3
ear 1
eat 2
embarrassed 1
embarrassment 1
employment 1
ensues 1
enthralled 1
environment 1
epitome 1
even 2
eventually 4
exiled 1
experience 1
families 1
family 6
father 3
feels 2
few 1
fictional 1
finally 3
find 1
first 1
five 1
flees 1
flings 1
flirts 1
for 4
fourth 1
francisco 1
free 1
frequent 1
friend 1
friendship 1
from 4
frustrates 1
further 1
gambling 1
gay 9
gimshunhock 1
go 1
going 1
gold 1
gong 5
good 1
gossip 1
green 1
grow 1
guangdong 1
guest 1
habit 1
had 1
hand 1
happy 1
has 4
hat 1
he 16
heading 1
her 10
herb 2
herbs 1
here 1
him 3
his 16
history 1
home 1
house 1
however 2
hurts 1
idea 1
identity 1
ii 1
immediately 1
immigrants 1
impotence 2
impotency 1
in 29
increase 1
increasing 1
independence 1
innocent 1
insists 1
is 19
it 3
jersey 1
july 1
jumps 1
jung 1
kindle 1
knitting 1
know 1
kuo 1
lau 1
learn 1
learning 1
leave 1
leaves 1
lee 5
left 2
lies 1
life 2
living 2
lonely 1
long 1
longer 2
loo 1
love 3
loves 1
loy 25
lurks 1
made 2
magnitude 1
make 1
man 3
manhattan 1
marriage 2
marriageable 1
marrying 1
masculinity 1
matchmakers 1
meet 1
meets 1
mei 14
members 1
men 2
mend 1
ming 1
mirrored 1
mocks 1
modesty 1
money 2
months 1
mountain 1
move 3
multitudes 1
near 1
neighborhood 1
new 9
newlyweds 1
night 1
no 3
not 6
novelty 1
numerous 1
oblivious 1
of 22
off 3
often 1
oi 14
old 1
on 3
or 2
other 1
over 1
overpowered 1
pain 1
past 1
peacefully 1
penalized 1
permission 1
picked 1
plan 1
pleased 1
powerful 1
practices 1
pregnant 1
premarital 1
presses 1
previous 1
prostitute 1
prostitutes 3
protect 1
pure 1
raising 1
rape 1
reader 1
realizes 1
regardless 1
rejection 1
relationship 1
remain 1
restaurant 2
restored 1
resumes 1
right 3
ringing 1
roommate 1
san 1
secret 4
seems 1
senses 1
separate 1
serving 1
several 1
sexual 1
shame 2
shameful 1
shamelessly 1
she 11
shee 2
should 1
since 2
skeptical 1
sleeping 3
slept 1
slicing 1
so 1
sobbing 1
sojournersomeone 1
solitude 1
son 1
song 9
soon 2
specialist 2
spend 1
spends 1
spies 1
stanton 3
starting 1
states 1
stay 1
still 1
story 1
street 1
suburb 1
successfully 1
such 1
sunwei 1
surrenders 1
take 1
tea 2
temptations 1
text 1
that 8
the 48
their 10
them 2
themselves 1
then 1
there 1
these 1
they 4
this 3
through 1
ties 1
time 1
to 32
together 1
tong 2
too 1
traditional 1
treat 1
tries 1
truly 1
two 1
uncle 1
understanding 1
unexpected 1
unmarried 1
unwilling 1
up 1
upon 3
visit 2
visitor 1
visits 1
wah 9
wants 1
war 1
warms 1
washington 1
ways 1
wears 1
wedding 3
weeks 1
wellconnected 1
when 5
where 1
whether 2
while 2
white 1
who 5
wife 1
will 1
wish 1
with 8
without 1
wives 2
word 1
work 1
working 1
world 1
write 1
wrongs 1
years 1
york 7
yuen 3
