3659282
/m/09svdb
/m/09svdb
John Barth


1001 1
a 13
accomplishments 1
admiration 1
aged 2
agrees 1
ancient 1
and 12
andmdashmore 1
another 1
appeared 1
appears 1
around 1
as 6
author 5
barth 3
be 2
bellerophon 2
bellerophoniad 3
between 1
but 1
by 3
can 1
chain 1
character 1
characterization 1
chronicles 1
coming 1
common 1
connecting 1
constellation 1
day 1
desire 1
details 1
devices 1
direct 1
dunyazad 1
dunyazade 1
dunyazadiad 3
encounter 1
entitled 1
eve 1
evening 1
events 1
eventual 1
every 1
execution 1
expresses 1
famed 1
far 1
fiction 1
final 1
first 2
following 2
follows 1
for 3
forestall 1
framing 1
from 4
further 1
future 2
genie 1
glory 1
greek 3
has 2
he 1
her 5
hero 3
himself 1
his 6
history 1
immortality 1
immortalization 1
in 3
instead 1
interaction 1
interjections 1
interrupted 1
introduction 1
is 6
it 2
its 1
king 1
knowledge 1
life 1
like 1
literary 1
longest 1
metafiction 1
middle 2
most 2
much 1
myth 1
mythic 1
narrators 1
new 1
nights 2
no 1
not 1
notably 1
novella 2
novellas 2
numerous 1
obtain 1
of 22
offers 1
on 1
one 3
other 1
part 3
past 1
perseid 3
perseidmdashmakes 1
perseus 3
poets 1
point 2
pointofview 1
predicament 1
presumed 1
realizing 1
references 1
regale 1
reimagining 1
result 1
retelling 3
revolves 1
rise 1
roman 1
rooted 1
scheherazade 7
second 1
secure 1
seeing 1
several 1
shahryar 1
sister 1
so 1
solution 1
somewhat 1
stars 1
stories 1
story 6
storyteller 1
stratagem 1
struggle 1
struggles 1
suggests 1
surrounds 1
taking 1
tell 1
terms 1
than 1
that 1
the 38
themes 1
thousand 1
three 2
to 11
told 4
understood 1
unknown 1
use 1
using 1
various 1
version 1
view 2
which 3
while 2
who 1
with 6
without 1
work 1
yet 1
younger 1
