6858376
/m/0gsx_k
/m/0gsx_k
Robert Harris
2006-09-04
{"/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
102 1
13 1
5th 1
6864 1
770 1
a 62
about 3
above 1
abroad 1
absence 1
accept 1
accompanied 2
accompanying 1
accomplish 1
accounts 1
accumulated 1
achieve 1
achieved 1
acquisition 1
acquits 1
act 1
active 1
acts 1
advice 1
advocate 1
aedile 3
africa 2
after 4
against 7
age 2
agent 1
agents 1
agrarian 1
agrees 1
alabanda 1
all 5
allocated 1
allowable 1
allowed 1
along 1
also 7
although 2
am 1
ambition 1
ambitions 1
among 1
amounts 1
an 6
and 98
annals 1
annex 1
announcement 1
another 2
antibribery 1
antonius 1
anywhere 1
apollonius 1
appeal 1
appian 1
application 2
appropriation 1
arch 2
archive 2
are 8
area 1
argument 1
aristocracy 1
aristocrat 1
aristocratic 1
aristocrats 6
arpinum 1
arranges 1
arrival 1
arrives 2
as 12
asia 2
asiatic 1
asked 1
asking 1
assist 1
assisted 1
at 17
attack 4
attempting 2
atticus 1
august 1
baby 1
back 5
baldhead 1
banker 1
bargain 2
based 1
baulk 1
bc 2
be 3
beaten 1
because 1
becomes 1
becoming 1
been 7
before 1
begins 1
beheaded 1
behind 2
being 4
berates 1
between 2
biased 1
bill 4
birth 1
bithynia 1
block 1
body 1
books 1
boos 1
borrow 2
borrows 1
boy 1
bribery 3
bribes 1
bribing 1
bright 1
brings 2
brother 1
burning 1
but 7
buy 1
by 27
caecilius 1
caelius 2
caesar 1
caius 1
call 1
called 1
calling 1
campaign 3
can 1
cannot 1
captured 1
career 1
case 6
castor 1
catalus 1
catilina 9
catilinas 1
catulus 3
catuluss 1
caught 1
centuries 2
chaired 1
charged 1
charges 2
check 1
cicero 45
ciceros 10
cilicia 1
citizen 2
city 1
citys 1
civil 1
clean 1
cloak 1
clodius 1
close 1
collectors 1
comes 1
command 5
commander 3
commits 1
committed 1
concentration 1
confirmed 1
confused 1
conquered 1
conspirators 1
consul 2
consular 3
consulship 4
consult 1
control 1
conversation 1
conveys 1
convinces 1
copy 2
cornelius 1
corruption 1
cost 1
council 1
court 7
courts 1
cousin 2
crassus 14
crassuss 1
crews 1
crimes 1
crowd 1
dangerous 1
day 4
days 2
deal 3
death 4
decided 1
decides 4
decision 1
declares 1
defeat 1
defend 2
defending 1
delaying 1
delight 1
deliver 1
demand 2
despatches 1
despite 3
determination 2
determine 1
devastating 1
develops 2
dinner 1
director 1
disappears 1
discovers 1
dislike 1
dislikes 1
dispatched 2
divided 1
does 3
domain 1
down 2
draws 1
duplicate 1
duress 1
during 2
each 3
early 1
effective 1
efforts 1
egypt 1
eight 1
elected 1
election 7
elections 4
electoral 1
embezzlement 1
eminent 1
encounter 1
end 1
enemies 1
energies 1
enjoys 1
enough 2
enrol 1
ensure 1
epicrates 1
estate 1
estates 1
evening 1
evenly 1
events 1
eventually 2
every 2
evidence 3
extent 1
extortion 8
extract 1
fair 1
fame 1
family 2
farm 1
fate 1
father 1
fellow 1
festival 1
field 2
fifteen 1
fight 1
filum 1
finally 1
financial 1
find 2
finding 1
finds 2
fine 1
finished 1
finishes 1
first 1
fled 1
flogged 1
followed 1
followers 1
following 2
follows 1
fonteius 1
for 23
forced 1
foreigners 1
former 2
fortune 1
fortytwo 1
forum 1
forward 1
freeman 1
friend 1
from 13
fund 1
further 2
gabinia 2
gabinus 5
gaius 6
games 1
garrets 1
gather 1
gaul 1
gauls 1
gavius 1
get 1
given 1
gives 1
glabrio 2
glory 1
gnaeus 1
go 1
goes 3
gossip 1
government 2
governor 6
governors 1
governorship 1
gracchus 3
granting 1
great 4
greece 1
greeting 1
guilty 2
had 3
half 1
happiness 1
hard 1
has 9
hatched 1
have 7
having 1
he 23
health 1
hears 1
held 1
her 1
heraclius 1
here 1
herennius 1
hide 2
hijack 1
hills 1
him 19
himself 1
his 50
home 2
hoping 1
hortalus 1
hortenius 1
hortensius 7
hours 1
house 10
households 1
however 3
husband 1
hybrida 5
i 1
idea 1
ides 1
if 4
ignored 2
immense 1
imperium 1
important 2
imprisoned 1
in 33
including 1
incriminating 1
independent 1
indirectly 1
informs 1
instead 1
instructed 1
intensely 2
intention 1
intervene 1
into 2
introduce 1
invitation 1
is 53
it 15
italy 1
its 1
january 1
jeering 1
joint 3
judge 1
jury 2
kept 1
knew 1
know 1
knowing 1
knows 1
lackeys 1
land 3
large 2
lash 1
last 1
later 3
latin 1
latter 1
law 2
lawyer 3
lay 1
lays 1
leading 3
learns 4
leave 1
leaves 4
left 1
legate 1
lex 3
licinius 1
lived 1
local 1
long 1
looking 2
looks 1
lot 1
lucius 2
lucrative 1
lucullus 2
m 1
made 3
magnus 1
maintains 1
make 4
makes 6
man 2
manager 1
manilia 1
mansion 1
marcus 7
marrow 1
mars 2
master 1
matched 1
matter 1
maximus 1
meantime 1
mediterranean 1
meet 2
meeting 3
meetings 2
members 1
men 4
merchant 1
message 2
met 1
metellus 4
method 1
middle 1
million 2
minor 1
mithradates 1
molon 1
money 2
moneymaking 1
months 2
more 3
morning 2
most 2
motion 1
mounts 1
much 1
mucius 1
name 1
named 3
narrator 1
national 2
never 1
nevertheless 1
new 3
news 1
next 3
niger 1
no 1
northern 1
not 3
notes 3
now 1
numitorius 1
obligatory 1
obliged 1
octavius 1
odds 1
of 73
off 1
offer 2
offering 1
office 5
old 3
on 25
once 3
one 9
only 1
open 1
opens 1
opportunities 1
opposed 2
opts 1
orator 1
orders 1
originals 1
ostia 1
other 2
out 11
outright 1
outside 1
over 6
oversees 1
own 3
paid 2
palicanus 1
paludamentum 1
panel 1
panic 1
parade 1
part 2
particularly 1
passed 1
patriot 1
pays 2
people 5
persuades 1
physical 1
physique 1
pirates 6
piso 2
pius 1
place 2
plan 3
planning 1
plans 1
plebs 1
plot 1
political 2
pompey 21
pompeys 7
pontifex 1
popular 1
postulates 1
power 1
praetor 2
praetorian 1
praetorship 1
precedent 1
presence 1
present 1
prevent 2
proconsul 1
proposal 1
propose 1
proposed 1
propraetor 1
prosecute 3
prosecuted 1
prosecuting 1
province 1
provinces 1
public 2
publius 2
pulcher 1
pupil 1
purchase 1
put 1
puts 2
quaestor 1
quaestorian 1
quarries 1
quintus 5
raid 1
raises 1
ransomed 1
ranunculus 1
reaction 1
reads 1
receives 2
recording 1
records 3
reform 2
refuses 1
reject 3
rejects 1
relations 1
remained 1
remains 1
removed 1
renewed 1
report 1
republic 1
reputation 1
request 2
requested 1
required 1
research 1
responsible 1
rest 1
retire 1
retired 1
return 6
returning 3
returns 3
rhetoric 1
rhetorical 1
rhodes 1
rival 1
roman 6
rome 13
romecrassus 1
romulus 1
roscius 1
rostra 2
round 2
rufus 3
rulers 1
rumour 1
run 1
saddened 1
safe 1
salinator 1
same 2
saying 2
says 1
scarlet 1
school 2
scouring 1
script 1
search 1
second 3
secret 2
secretary 1
seek 2
seize 1
sell 1
senate 4
senator 4
sends 1
sent 1
sentences 1
sergius 1
serve 1
service 2
set 1
setting 1
share 1
ships 1
short 1
shorthand 1
should 1
show 1
sicilian 2
sicily 6
six 1
slander 1
slums 1
snobbish 1
so 3
socalled 1
some 2
son 1
space 1
spain 1
sparticus 1
speech 3
splendid 1
splitting 1
spying 1
stand 1
state 1
staying 1
stays 1
stealing 1
sthenius 5
sticks 1
stone 1
story 1
strikes 1
stroke 1
struck 1
submits 1
submitted 1
success 2
such 1
suffering 1
suggests 1
suicide 1
summon 1
summoned 1
support 5
supported 2
supporter 1
supporters 2
supportive 1
supports 2
supreme 7
surprisingly 1
suspicious 1
swindled 1
swing 1
switch 1
syracuse 1
tackle 1
tactic 1
take 3
taken 2
takes 1
taking 1
talked 1
tapestry 1
tax 1
teachers 1
team 1
tells 3
temple 1
ten 3
terentia 7
terentias 1
term 1
that 17
the 168
their 6
them 3
then 5
there 2
thermae 1
they 6
thinks 1
thirtyninth 1
thirtysix 1
this 2
thousand 1
threatened 3
through 1
thrown 1
tiber 1
tiberius 1
ticket 1
tie 1
timarchides 1
time 4
tiro 11
to 117
together 1
transcribed 1
transpired 1
treason 1
treaties 1
trebellius 1
trial 2
tribune 3
tribunes 2
tried 1
tries 2
triumph 2
trying 1
tullius 1
turn 1
turning 1
turnout 1
turns 4
twenty 2
twentyfour 1
twentyseven 1
two 6
ultimate 1
under 2
until 2
up 5
upon 1
use 2
using 3
vast 1
verres 13
verress 4
veto 1
vetoed 1
vibius 1
victorious 2
visit 2
visited 1
voice 1
vote 7
voters 2
votes 2
wait 1
want 1
wanting 1
war 3
was 4
way 3
wealth 1
wealthy 1
wearing 1
welcome 1
well 1
what 2
when 5
where 1
which 3
whilst 1
who 13
whom 4
whore 1
wife 1
wifes 1
will 5
winner 1
wins 2
with 24
withering 1
witnesses 1
wits 1
work 1
working 1
worse 1
would 1
writes 1
written 1
year 2
years 4
youngest 1
zone 1
zones 1
