1858057
/m/061lkv
/m/061lkv
Rob Grant
1990-10-25
5 1
50 1
a 47
able 1
about 1
accelerate 1
accident 1
accidentally 4
acid 1
actress 1
actually 1
advertising 1
after 2
again 2
alarm 1
all 2
allows 1
also 2
alter 1
although 1
amidst 1
amiss 1
an 5
and 54
announce 1
apart 1
appears 1
appliance 1
applies 1
are 9
areas 1
arm 2
arms 1
around 1
arrives 1
as 2
ashes 1
at 2
atrophied 1
attack 2
attempting 1
attempts 1
attitude 1
away 1
back 4
backwards 1
bad 1
battle 1
be 3
beast 1
beat 1
beautiful 2
because 3
becomes 1
bedford 4
befriends 1
begin 1
begins 3
behind 1
being 1
better 2
bexley 1
billion 1
black 4
blare 1
blasted 1
board 1
body 3
bonaparte 1
book 1
bottles 1
brain 1
breakfast 1
bring 1
brother 1
brought 1
built 2
bury 1
but 3
butterside 1
by 5
cache 1
caesar 1
cajoled 1
can 2
canister 2
cant 2
capra 1
careful 1
carry 1
castle 2
cat 8
cause 1
causing 2
certain 1
change 1
chicata 1
christmas 1
clad 1
clear 1
clock 1
cockroaches 1
cold 1
collective 1
companion 1
computer 1
confirming 1
confronts 1
confusion 1
considerably 1
contacts 1
containing 1
contains 1
converted 1
convicts 1
convinced 1
coordinates 1
corp 1
corporation 1
couple 1
course 1
cowsized 1
crash 1
crashes 1
cream 1
creator 1
crew 6
crushes 1
curdled 1
curry 1
dangerous 1
danish 1
day 1
dead 1
decline 1
denmark 2
destroying 1
developed 1
didnt 1
dies 1
digit 1
dilation 1
dimension 1
diner 1
dirty 1
disabled 1
disables 1
discover 1
discovered 1
discovers 1
discussing 1
disguised 1
dishes 1
dishwasher 1
disturbing 1
doesnt 1
dogs 1
dollarpound 1
doomed 1
doug 1
down 6
drive 1
drivers 1
drops 1
duality 1
due 1
dump 1
dwarf 8
dwarfers 1
dying 1
earlier 1
earth 2
elderly 2
emotions 2
ending 2
endless 1
ends 1
engine 1
engines 1
enter 3
entering 1
erupt 1
escape 1
eve 1
even 1
eventually 2
every 1
exactly 2
experience 1
explains 1
extends 1
fail 1
fairy 1
fall 1
falls 4
fantasies 1
fantasise 1
fantasy 2
farm 1
favourite 1
fears 1
feels 1
fiery 1
finally 2
find 1
finds 2
fire 1
firebreathing 1
fired 1
fires 1
first 1
five 1
