2727926
/m/07_bwp
/m/07_bwp
Naomi Wolf
1991
a 2
achieve 1
all 1
also 1
an 3
analysis 1
and 8
appearance 1
areas 2
argued 1
argues 2
as 2
assault 1
attitudes 1
beauty 6
being 1
bodies 1
book 1
but 1
by 2
choice 1
claims 1
conform 1
constructed 1
construction 1
content 1
criticizes 1
determines 1
do 1
economic 1
entirely 1
even 1
exploitative 1
extends 1
faces 1
failure 1
fashion 1
five 1
following 1
for 2
functioning 1
goal 1
have 1
hegemony 1
her 1
human 1
hunger 1
idea 1
ideology 1
in 3
industries 1
into 1
intrinsically 1
introduction 1
ironmaiden 1
is 3
it 1
its 1
judgments 1
legal 1
myth 2
normative 2
of 8
offers 1
our 1
own 1
patriarchy 1
physically 1
politically 1
posits 1
pressure 1
psychologically 2
punish 1
punished 1
regarding 1
relaxation 1
religion 1
reproducing 1
sex 1
should 1
socially 1
standard 1
standards 1
that 7
the 10
their 1
then 1
to 5
ultimately 1
unattainable 1
under 1
undermine 1
us 1
used 1
using 1
value 1
violence 1
want 1
we 1
were 1
whatever 1
with 2
without 1
wolf 7
women 5
work 1
writes 1
