531397
/m/02m6hs
/m/02m6hs
Russell Hoban
1980
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c082": "Utopian and dystopian fiction"}
a 4
about 1
action 1
after 1
age 1
although 1
an 1
ancient 2
and 3
area 1
based 1
begins 1
but 1
catholic 1
characters 1
church 1
civilization 1
civilizations 1
combined 1
county 1
devastated 1
do 1
efforts 1
enacted 1
england 2
english 1
eustace 1
from 1
harsh 1
has 1
have 1
in 2
inland 1
institution 1
into 1
iron 2
is 4
it 1
kent 1
know 1
level 1
life 1
live 1
machinery 1
main 1
misinterpreted 1
mythology 1
narrator 1
not 1
nothing 1
novel 1
nuclear 1
of 7
old 1
on 1
one 1
outside 1
own 1
prehistoric 1
presently 1
produce 1
puppet 1
recreate 1
riddley 2
saint 1
salvage 1
secretive 1
set 1
shows 1
similar 1
small 1
state 1
stories 1
story 1
stumbles 1
the 8
their 2
they 1
thousand 1
to 2
two 1
upon 1
walker 1
war 2
weapon 1
when 1
which 1
whose 1
world 3
years 1
young 1
