22191858
/m/05q6nby
/m/05q6nby


{"/m/06nbt": "Satire"}
1850s 1
a 5
acquired 1
acre 2
and 3
antislavery 1
are 1
armado 2
as 2
barrister 1
be 2
becomes 2
beginning 1
being 1
between 2
black 1
both 1
british 1
bull 3
business 2
by 3
capitalist 1
competing 1
county 1
deals 1
difficult 1
don 2
elsewhere 1
england 2
farm 2
farmers 2
farmhands 1
firm 1
follows 1
from 5
hardworking 1
has 1
him 1
his 4
history 1
however 1
in 4
ineffective 1
is 5
it 1
its 1
land 8
large 1
lincolnshire 1
loyal 1
lucrative 1
main 1
most 1
mr 2
near 1
north 1
of 5
or 1
ordinary 1
ought 1
over 1
own 1
owns 1
placated 1
place 1
presented 1
proslavery 1
prosperous 1
prospers 1
province 1
quantity 1
question 1
recounted 1
reporter 1
retired 1
rival 1
see 1
seeks 1
segment 1
shropshire 1
side 1
since 1
slaves 1
south 1
split 2
states 2
steal 1
story 3
suddenly 1
takes 2
tensions 1
the 21
though 1
thus 1
tilled 1
tilling 1
time 1
to 5
transaction 1
two 2
undergoing 1
united 2
various 1
were 1
when 1
where 1
whether 1
which 1
whilst 1
white 1
who 1
will 1
with 2
