657119
/m/02p2sd0
/m/02p2sd0
Patrick O'Brian
1972
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
1802 1
1803 1
a 22
aboard 1
about 1
absconds 1
absence 1
accuses 1
admiral 2
admiralty 2
advised 1
affair 4
afraid 1
after 4
again 2
agreement 1
aground 2
all 1
also 2
amiens 1
an 9
and 29
angry 1
any 1
anyone 1
apparent 1
are 1
as 4
asks 3
assembled 1
assigned 2
assigns 1
at 2
attending 1
attracted 1
aubrey 4
authorities 1
avoid 1
aware 1
bar 1
batteries 1
battle 3
be 2
bear 1
because 2
becomes 1
been 3
begin 1
begins 1
being 2
bellone 2
board 2
boat 1
boats 1
book 1
both 1
breaks 2
britain 1
british 2
built 1
bullion 1
but 6
by 8
calls 1
canning 4
captain 3
capture 2
captured 2
capturing 1
carries 1
cecilia 1
challenge 2
change 1
channel 1
chaulieu 3
christy 1
close 1
come 1
command 4
commander 2
commences 1
company 1
conclusion 1
connection 1
continue 1
convoy 1
convoys 1
corvette 1
costume 1
country 3
courts 1
cousin 1
creditors 1
crew 2
currently 2
date 1
daughter 1
de 1
debtors 1
declare 1
declines 1
deemed 1
designed 1
destroy 1
diana 6
disappears 1
disappointing 1
does 2
down 2
downs 1
dressed 1
drive 1
duel 3
dundas 1
during 3
each 1
east 1
eldest 1
else 1
engagement 1
england 4
english 2
escort 1
exercise 1
explain 1
explodes 1
family 1
fanciulla 3
fearing 1
finally 1
finds 1
first 2
flees 1
fleet 1
for 5
forced 1
forewarned 1
forgotten 1
fortune 1
founders 1
four 1
france 1
free 2
french 5
friend 1
frigate 1
from 3
full 1
gather 1
gathering 1
generous 1
gets 1
gibraltar 1
given 2
goes 1
going 1
gone 1
grants 1
gunboats 1
had 3
hamond 1
hand 1
harte 2
has 3
have 1
he 10
heneage 1
her 2
highlights 1
him 4
himself 1
his 7
hms 1
hope 1
hours 1
however 1
in 17
included 1
india 1
instigators 1
intelligence 3
intercept 1
involved 1
is 22
it 2
its 1
jack 25
jeananne 1
la 1
launch 1
leadership 1
leads 1
leave 2
leaving 1
letter 1
lieutenant 2
life 1
lingering 1
lively 2
long 1
loyal 1
luck 1
lucky 1
lying 1
making 1
managing 1
marque 1
marriage 1
marry 2
master 1
meanwhile 1
meets 1
merchant 1
mission 1
money 2
montevideo 1
months 1
more 1
mr 2
mrs 1
much 1
mutiny 2
negotiate 1
news 1
no 1
not 3
nowobvious 1
odd 1
of 24
off 2
offered 2
on 6
one 1
only 1
opera 1
ordered 1
other 3
out 3
outbreak 1
outside 1
overhears 1
overtakes 1
pallire 1
parker 1
parliament 1
parliamentary 1
passage 1
peace 1
placed 1
plans 3
polychrest 3
polychrests 1
poor 1
poorly 1
port 5
postcaptain 1
pounding 1
prevail 1
previous 1
prior 1
prison 1
privateer 2
prize 2
prizeagent 1
prizes 2
pro 1
promoted 1
propose 1
pull 1
punishment 1
quashes 1
quick 1
raid 1
rank 1
ready 1
realizes 1
receive 2
refuses 1
repay 1
reputation 1
request 1
rescues 1
rest 1
returning 2
returns 3
revolutionary 1
rounding 1
runs 1
safely 1
sail 1
sails 1
sand 1
satisfactory 1
seat 1
secret 1
seized 1
sent 3
separating 1
settlement 1
share 1
ship 9
ships 1
shore 1
short 1
since 1
sink 1
sinks 1
six 1
smuggles 1
so 2
some 1
soon 5
sophie 4
spain 2
spanish 5
spoken 1
squadron 2
squire 1
start 1
stephen 17
stephens 1
stranded 1
streak 1
structurally 1
subjects 1
surrender 3
take 2
taken 1
tasks 1
tem 1
temporarily 1
temporary 1
that 7
the 56
their 3
them 1
they 3
this 3
three 2
time 3
tipped 1
title 1
to 41
too 1
transport 1
travel 1
treasure 1
treatment 1
troopships 1
turns 1
under 1
unlawful 1
unsound 1
unwillingness 1
up 3
upon 1
urging 1
very 1
villiers 1
visiting 1
wait 1
war 3
warn 1
wars 1
was 1
way 1
weapon 1
when 2
where 2
which 2
while 5
who 1
whom 1
whose 2
wife 1
will 5
williams 4
with 11
without 1
work 1
