1226795
/m/04k31p
/m/04k31p
John Steakley
1984-12-04
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1 1
10 1
20th 1
21st 1
23 1
a 36
able 1
about 1
accepts 1
access 2
accident 1
action 1
active 1
affluent 1
after 3
aftermath 1
again 2
against 3
agrees 2
alcoholic 1
alien 3
alive 1
all 1
allow 1
almost 3
also 8
always 1
ambushed 1
an 13
and 40
anonymous 1
another 1
answers 1
antiwar 1
ants 6
antwar 3
appears 1
aptly 1
are 6
area 1
armor 5
armored 2
around 1
as 9
asked 1
assaulting 1
assaults 1
at 5
attack 7
attackers 1
attacking 1
attacks 1
attempts 1
awe 1
back 2
bad 1
banshee 7
bargain 1
barrage 1
barrages 1
base 1
battle 3
be 7
beacons 1
been 1
before 5
begs 1
being 3
best 1
between 1
bit 1
black 1
blessing 1
bluff 1
board 2
bolov 2
bomb 2
bonhomie 1
book 2
borglyn 9
breaking 1
burden 1
burnout 1
but 5
by 5
called 2
camera 2
can 3
canada 1
capture 1
carry 1
catch 1
celebration 1
celebrity 2
certain 1
challenges 1
chance 1
change 1
chaos 1
character 1
chooses 1
citizens 1
climax 1
colony 1
comes 2
commanding 1
company 2
complacency 1
complete 1
completely 1
confesses 1
constantly 1
contact 1
continue 1
continues 1
create 2
creates 1
crow 1
crushed 1
curiosity 1
data 1
deal 2
death 1
decorated 1
deserter 2
despise 1
destroy 1
destroyed 1
destroying 1
destroys 2
deuteragonist 1
devastated 1
device 1
die 1
difference 1
different 1
director 1
disaster 1
discovers 1
disgusted 1
distance 1
does 2
doesnt 1
dons 1
down 1
dozens 1
drop 5
dropping 1
drops 1
drunken 2
during 5
duty 1
dying 2
each 1
either 1
elevated 1
emotional 1
encounter 1
end 1
endless 1
ends 1
energy 1
enlistee 1
ensuing 1
equally 1
escape 3
escaped 1
even 1
events 2
everything 1
exchange 1
exhaustion 1
exoskeletons 1
experiences 1
experiment 1
exploiting 1
exploits 1
explosion 1
extraordinary 1
extrasolar 1
facility 2
fallback 1
false 1
far 2
feelings 1
felix 25
fellow 1
fend 1
few 1
fighting 1
final 2
fired 1
fires 1
first 5
fleet 10
foot 1
for 7
forces 1
forest 3
fort 4
forward 1
freighter 1
friend 1
fringes 1
from 11
fulfill 1
functions 1
gaseous 1
get 1
giant 1
girlfriend 1
give 1
given 1
glimpse 1
go 1
goes 1
golden 2
grabs 1
gross 1
grudgingly 1
hand 1
happens 1
has 3
he 17
helps 1
her 2
hesitate 1
highly 1
him 9
himself 5
hinted 1
his 26
hive 7
hollis 1
holly 8
home 1
horribly 1
horror 1
how 2
however 2
human 1
humanity 2
humans 1
identify 1
immersed 1
immersions 2
impossible 1
impregnable 1
in 15
including 1
incompetence 1
inevitable 1
inexperienced 1
infantry 1
infested 1
infiltrate 1
influence 1
ingratiate 1
inhospitable 1
initially 1
insects 1
insight 1
intersect 1
into 2
introduced 1
irresponsible 1
is 30
it 6
its 1
jack 13
joined 1
journalists 1
just 2
kent 6
kill 2
killed 4
killing 1
knowledge 1
known 1
knows 1
last 1
later 1
learn 3
learned 1
learns 2
leave 1
left 1
lewis 4
life 2
like 1
limitless 1
little 1
lives 1
lock 1
loved 1
luck 1
lya 2
maintain 1
make 1
making 1
man 1
masao 3
meet 1
meets 2
memories 1
memory 2
military 1
missiles 2
mission 1
moment 1
moments 1
monarch 2
morality 1
morally 1
more 3
mortally 1
most 2
mountain 1
much 1
mutineer 1
named 6
nathan 3
nature 1
necessary 1
new 1
no 1
noncombat 1
not 2
notices 1
notorious 1
novel 3
nuclear 1
nuclearpowered 1
obviously 1
odds 1
of 34
off 1
officer 1
officers 1
old 1
olympics 1
on 20
once 2
onetime 1
only 1
onto 4
operating 1
opinions 1
options 1
or 1
originally 1
other 1
others 1
ourselves 1
out 3
outside 1
own 2
owner 1
participate 1
participated 1
pay 1
people 1
personality 1
pirate 1
pirates 1
place 1
plan 1
planet 7
planned 1
power 1
prior 1
prison 1
profoundly 1
project 2
protagonist 1
protagonists 1
providing 1
psychologist 1
public 1
purpose 1
questionable 2
race 1
rage 1
rancher 1
real 1
recorder 1
references 1
referred 1
refers 1
refuel 1
refuses 2
regroups 1
removed 1
rendering 1
reputation 2
research 3
researchers 1
resort 1
retreat 2
retrieve 1
return 2
revealed 5
revelation 1
runaway 1
sabotage 1
sacrificing 1
