11108448
/m/02r08yt
/m/02r08yt
Stepan Chapman
1997
20th 1
a 3
across 1
an 1
and 1
are 2
been 1
beings 1
bodies 1
centuries 1
century 1
changed 1
characters 1
crossing 1
describing 1
desert 2
dinosaur 1
do 1
dreamsequencelike 1
each 1
ever 1
flashbacks 1
for 1
glare 1
have 2
if 1
interspersed 1
introduces 1
jeep 1
know 1
mexican 1
not 1
novel 1
of 2
old 1
or 1
other 1
reach 1
several 1
side 1
suns 1
the 6
their 1
they 4
though 1
three 2
times 1
transformed 1
travelling 2
travels 1
under 1
various 1
versions 1
why 1
will 1
with 1
woman 1
