34397231
/m/0h_f072
/m/0h_f072
Colin Bateman

{"/m/0lsxr": "Crime Fiction", "/m/0vgkd": "Black comedy"}
a 1
after 1
and 2
another 1
apparently 1
as 3
both 1
called 1
cancelling 1
clean 1
clive 1
corkery 1
counselling 1
currently 2
dan 1
entered 1
entrepreneur 1
estranged 1
family 1
follows 1
from 1
geordie 1
has 1
him 1
his 2
home 1
horse 1
in 1
into 1
investigate 1
is 3
known 1
living 1
mark 1
mcclean 1
name 1
not 1
novel 1
patricia 1
quite 1
racing 1
receives 1
relate 1
relationship 1
request 1
sessions 1
single 1
someone 1
starkey 2
suggest 1
the 2
their 1
this 1
to 1
unemployed 1
whisperer 1
who 2
wife 1
with 3
would 1
