21676100
/m/05mzdyp
/m/05mzdyp
Heinrich Böll

21 1
a 20
ability 1
about 2
across 1
affected 1
affiliation 1
after 2
again 1
age 1
ago 1
agree 1
agreed 1
agreeing 1
air 1
all 1
along 1
also 3
although 1
always 2
an 2
and 13
anger 1
another 1
antiaircraft 1
any 1
are 1
arrived 1
arrives 1
artist 2
as 8
ask 1
asleep 1
at 5
back 2
became 1
because 4
become 2
been 1
beginning 1
believe 2
benefited 1
bohn 1
bonn 4
breathe 1
bring 2
brother 3
brought 1
but 5
calls 2
came 1
can 3
catholic 5
catholicism 2
catholics 2
children 2
church 2
city 3
clearly 1
clown 4
coins 1
college 1
come 1
conference 1
conversation 1
converted 2
country 1
day 1
dead 2
depressed 1
depresses 1
depression 1
describes 1
detect 1
devout 1
did 2
different 1
discovered 1
discovers 1
disposition 1
does 1
drove 1
duty 1
end 1
enough 1
even 2
every 1
everywhere 1
explains 1
extravagances 1
factor 1
family 4
father 5
fell 2
finally 1
financial 2
financially 1
first 1
five 1
food 1
for 4
forced 1
friend 1
friends 1
from 8
german 1
germany 1
get 2
given 1
go 2
goes 1
gone 1
good 2
got 1
guitar 1
had 6
hands 1
hans 12
has 11
hat 1
he 35
headaches 1
help 1
henrietta 1
her 7
high 1
him 12
himself 2
his 20
holding 1
home 3
honeymoon 1
hotel 1
hotels 1
i 3
in 17
into 1
is 10
it 2
largely 1
late 1
laziness 1
leave 1
left 2
legally 1
leo 5
license 1
live 3
living 4
longer 1
love 1
low 1
man 1
many 2
marie 9
marriage 1
married 1
marry 1
maybe 1
meets 1
memories 1
memory 1
met 1
middle 1
millionaire 1
money 3
monogamy 1
more 1
morning 1
must 2
mystical 2
named 3
near 1
never 6
news 1
next 2
night 1
no 3
nobody 1
not 8
note 2
novel 1
now 1
of 8
offer 1
offers 1
old 1
on 2
once 1
one 1
only 4
or 1
paper 1
parents 1
past 2
path 1
peculiarity 1
people 2
perform 1
performance 1
person 1
plays 1
pocket 1
position 1
problems 2
promises 1
protestants 2
raise 1
read 1
recently 1
regarded 1
rejects 1
relatively 1
relatives 1
remembers 1
reversal 1
rome 1
same 1
saw 2
says 1
schnier 1
school 3
sees 1
sent 1
serious 1
seventeen 1
she 5
shown 1
sign 1
sin 1
sister 1
smells 1
some 1
something 1
soon 1
stated 1
statement 1
station 1
stay 1
still 1
story 1
studying 1
suffer 1
suffers 1
supports 1
take 2
takes 1
talked 1
telephone 1
tells 3
that 13
the 27
their 2
theology 1
there 3
therefore 2
they 6
things 1
this 2
though 1
thought 1
through 1
throw 1
thus 1
time 1
title 1
to 27
together 1
told 1
took 1
train 1
travel 1
trip 1
twentyseven 1
values 1
very 1
volunteer 1
wage 1
want 1
wanted 1
wants 1
war 1
was 7
way 1
wealth 1
wealthy 1
went 1
were 3
when 3
while 1
who 2
with 6
woman 2
work 1
would 1
years 3
zupfner 4
zupner 1
