909244
/m/03nzr9
/m/03nzr9
Sidney Sheldon
1973
a 9
able 1
about 1
affair 1
against 1
alexander 1
all 1
along 1
aloof 1
always 2
american 1
an 3
and 5
as 1
at 1
auguste 1
beautiful 1
beauty 1
because 1
begins 1
big 2
bill 1
bn 1
born 3
but 5
by 1
call 1
called 2
carelessly 1
catherine 4
could 1
ct 1
dazzling 1
de 2
decided 1
disappears 1
distraught 1
does 1
douglas 2
dreams 2
dress 1
embarrassed 1
entwine 1
escapes 1
esms 1
exchange 1
exploit 1
extramarital 1
fact 1
falls 2
fashion 1
father 3
finds 2
first 1
fisherman 1
fiveandahalf 1
focuses 1
for 2
foster 1
france 1
fraser 1
frde 1
from 2
fulfil 2
gradually 1
greed 1
grisly 1
had 2
he 3
her 9
him 1
his 1
husband 1
in 8
instead 1
is 8
ja 1
jilted 1
job 1
kia 1
la 1
lanchon 1
larry 4
lautre 1
lesbian 1
letting 1
lies 1
lives 1
love 2
m 1
man 2
marry 2
marseilles 2
medianoche 1
midnight 1
minuit 1
money 1
months 1
mother 1
na 1
ne 1
never 3
noelle 6
not 1
of 5
on 1
other 1
owner 1
page 1
paris 2
passion 1
people 1
pilot 1
plans 1
power 1
pregnant 1
princess 1
promises 1
ptthe 1
raf 1
relationship 1
result 1
return 1
ru 1
second 1
she 6
shop 1
shy 1
side 1
sleep 1
so 1
story 2
taking 1
terminates 1
that 1
the 9
them 1
these 1
to 6
told 1
truth 1
two 2
unaware 1
university 1
vengeance 2
vipha 1
virgin 2
was 2
wellread 1
when 1
who 3
whom 1
whose 1
wit 1
with 5
women 2
