1804983
/m/05ybwv
/m/05ybwv
Lois Lowry
1989
{"/m/0dwly": "Children's literature", "/m/02p0szs": "Historical fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
147 1
a 15
about 2
accidentally 1
after 3
all 2
also 1
among 1
and 39
annemarie 15
anticipation 1
apartment 2
apartments 1
are 1
arrangements 1
arrest 1
arrive 4
as 2
ask 1
asks 2
at 3
attention 1
attract 2
away 1
baby 2
back 1
basket 1
be 2
because 2
become 1
been 1
before 1
beginning 1
being 1
belongs 1
best 1
bible 1
birte 3
blankets 1
blond 1
blood 1
boards 1
boat 3
bodyguard 1
both 1
boy 1
brave 1
bring 1
broke 1
broken 1
brotherinlaw 1
brown 1
but 2
by 6
calls 1
captured 1
car 1
casket 3
celebrates 1
christian 1
clearly 1
closing 1
clothing 1
cocaine 2
cold 1
come 2
comes 1
conceal 2
confronts 1
contained 1
continues 1
copenhagen 1
country 2
cruel 1
danish 2
dark 1
daughters 1
david 2
day 2
delivering 1
demand 1
demanded 1
denmark 4
depart 1
died 3
disguised 1
distributes 1
do 1
doctor 1
doctors 1
does 1
dogs 2
dont 1
dropped 1
easier 1
ellen 11
encoded 1
ends 1
entire 1
evening 1
eventually 1
executed 1
exist 1
explains 2
face 1
families 2
family 2
father 2
fiance 1
filled 1
find 2
finding 1
finds 1
fishing 1
flight 1
food 2
for 4
forced 1
friend 2
friends 1
from 2
frustration 1
full 1
funeral 3
german 3
germans 2
germs 1
gilleleje 1
girls 1
gives 2
go 1
god 1
goes 1
goodbye 1
greataunt 3
ground 1
group 2
had 3
hair 3
handkerchief 2
harbor 1
has 2
have 4
having 1
he 3
henrik 7
her 17
herself 1
hides 1
hiding 2
him 3
his 4
hit 2
holiday 1
home 1
honor 1
house 1
how 2
however 1
idenity 1
identity 1
importance 1
important 1
impossible 1
in 10
inside 1
intentionally 1
interrupt 1
into 2
is 10
it 6
jewish 7
jews 2
johansen 6
johansens 1
kept 1
killed 1
king 1
kirsti 2
know 1
knowing 1
knows 1
later 4
leave 4
leaves 2
less 1
lies 1
like 1
lise 5
listed 1
lists 2
live 1
lord 1
love 1
lunch 1
made 1
makes 1
man 1
many 2
merely 1
middle 1
morning 1
mother 3
mr 4
mrs 5
names 1
nazi 5
nazis 4
nears 1
necklace 2
neighbors 1
next 1
nielsen 2
night 3
not 2
numb 1
number 1
numbering 1
ocean 1
of 19
off 3
older 1
on 3
one 1
only 2
onto 2
onward 1
open 2
opening 1
opens 2
or 1
order 1
other 1
out 2
package 5
parents 2
path 1
patrol 1
peaceful 1
people 1
peter 6
photos 1
population 1
psalm 1
questions 1
rabbi 1
rabbit 1
reach 1
reads 1
realizes 1
recalls 1
recounting 1
reliable 1
relocate 1
reminisces 1
repair 1
resistance 2
retrieves 1
return 2
returns 1
reveal 1
revealed 1
revelations 1
right 1
rips 1
rosen 6
rosens 3
runs 1
says 2
scared 1
scent 1
seeing 1
sense 1
several 2
she 7
shortly 1
show 1
similar 1
since 1
sister 2
sky 2
slaps 1
smell 1
sniffed 1
so 2
soldier 4
soldiers 8
some 1
soon 1
splitting 1
spread 1
stairs 1
star 2
stars 2
started 1
stop 1
stopped 1
stores 1
story 1
strangers 1
streets 1
suspicious 1
sweden 1
synagogue 1
takes 1
tear 1
tell 1
tells 2
temporarily 1
that 20
the 65
their 5
them 4
then 2
these 1
they 5
thinks 1
three 1
to 27
told 2
toss 1
towards 1
train 1
tripped 1
truth 1
two 2
typhus 1
uncle 7
up 2
use 1
very 1
visits 1
walk 1
wanting 1
war 1
warm 1
was 6
wear 1
were 3
when 5
where 1
which 5
who 5
will 2
with 4
wooded 1
working 1
world 1
would 3
x 1
years 1
you 1
