16341169
/m/03wh7rs
/m/03wh7rs
Elizabeth Laird
2003
a 13
ababa 1
abbaba 1
addis 2
alliance 1
also 1
an 2
and 17
angry 1
approaches 1
army 1
at 2
ato 6
away 1
back 2
be 2
because 1
become 1
becomes 1
beggar 1
better 1
boys 3
brother 1
by 2
care 1
cfarmer 1
city 1
claims 1
clothes 1
code 1
comes 1
cruel 1
dani 11
died 1
different 1
england 1
escape 1
escapes 1
eventually 1
everyone 1
except 1
expert 1
family 2
far 1
farmer 1
father 4
find 2
finding 1
food 1
for 3
form 1
friends 1
from 4
gang 4
garbage 1
graveyard 1
group 1
handwriting 1
happy 1
has 1
have 1
he 3
heaps 1
hears 1
her 1
hides 1
hiding 1
him 4
his 9
hitchhikes 1
home 3
homeless 1
however 1
husband 1
in 3
is 9
it 1
join 2
kidnapped 1
king 1
learn 1
learns 1
left 1
lives 1
london 1
mamo 8
medical 1
meets 1
members 2
merga 2
mesfin 3
money 1
mother 2
moved 1
new 2
now 1
obtain 1
of 6
off 1
offer 1
old 1
once 1
one 1
others 1
out 1
part 1
paulos 3
people 1
pitch 1
poor 1
privileged 1
prosperous 2
provide 1
receive 1
recognizes 1
recovering 1
remain 1
return 1
returns 1
reunite 1
rich 1
rubbish 1
runs 1
same 1
schoolteacher 1
sell 3
sells 1
sets 1
share 1
sharing 1
she 2
sick 1
sister 2
slave 1
son 1
soon 1
stories 2
story 2
street 3
strict 1
takes 1
talents 1
talking 1
teachers 1
tells 1
that 3
the 11
their 2
there 1
they 4
tiggist 2
time 1
to 16
together 1
toughen 1
trader 1
treasures 1
tries 1
turns 1
two 1
uncle 1
unexpected 1
up 1
urchin 1
very 1
wants 1
whatever 1
when 1
where 2
which 1
who 2
will 1
with 3
writes 1
younger 1
