3488641
/m/09g68t
/m/09g68t
Frank McCourt

{"/m/016chh": "Memoir"}
a 8
able 1
about 3
africanamerican 1
after 1
an 1
and 12
anecdotes 1
angela 1
anything 1
area 1
as 2
ashes 1
asks 1
at 1
because 1
between 1
book 1
books 1
but 2
career 1
childhood 1
college 1
connection 1
continued 1
cookbooks 1
covered 1
creative 1
date 1
day 2
didnt 1
doctorate 1
during 1
earlier 1
early 1
eating 1
ended 1
english 2
especially 1
excuse 1
explaining 1
fired 2
first 3
for 4
frank 1
from 1
george 1
gets 2
give 1
go 1
grammar 1
hamlet 1
he 10
high 2
highlights 1
himself 1
his 9
how 2
if 1
in 6
include 1
involves 2
ireland 2
irish 1
joking 1
know 1
language 1
learning 1
leaving 1
lesson 1
like 1
mccourt 3
mckee 1
most 1
much 1
nearly 2
new 1
notes 1
of 6
on 2
other 1
out 1
owen 1
own 1
pedagogy 1
pen 1
people 2
poets 1
production 1
realia 1
responsibility 1
sandwich 1
santayana 1
sassoon 1
school 3
second 2
sentence 1
sheep 1
siegfried 1
some 1
spent 1
strain 1
struggled 1
student 1
students 3
stuyvesant 1
subjects 1
take 1
taking 1
talks 1
taught 3
teacher 1
teaching 2
technical 1
telling 1
that 1
the 9
their 1
them 1
then 1
thirty 1
time 2
tis 1
to 5
took 1
training 1
trinity 1
try 1
twentyseven 1
up 1
use 1
vocational 1
war 1
was 3
wellprepared 1
went 1
were 1
when 1
where 1
which 2
wife 1
wilfred 1
with 2
works 2
writing 1
years 1
york 1
