12184056
/m/02vthh6
/m/02vthh6
Shannon Hale
2003-08-08
a 13
ability 2
about 4
absent 1
accent 1
accusations 1
activity 1
actually 1
adopts 1
after 4
again 1
ahead 1
almost 1
along 3
also 2
among 1
an 2
and 39
ani 20
anidorikiladra 1
animals 2
animalspeaking 3
animalworkers 1
anis 6
around 1
as 6
asks 1
assumedly 1
assumes 1
astounded 1
attack 3
aunt 6
back 4
backed 1
balcony 1
bayern 10
bayerners 1
be 1
beasts 1
becomes 1
been 2
before 2
befriends 1
behind 3
being 3
believe 1
betrayed 1
between 3
blacks 1
blonde 1
bonds 1
book 3
both 1
boy 1
brother 1
browns 1
burning 1
but 5
by 5
called 1
camp 1
can 4
capital 3
castle 1
centers 1
certain 2
child 1
close 1
collapses 1
comes 1
communicate 4
communicates 1
communication 1
companion 1
compared 1
complies 1
confronts 1
conrad 1
constant 1
country 1
crown 3
curtain 1
days 2
decide 1
died 1
dies 1
discovered 1
discovers 1
dismisses 1
do 1
doesnt 1
down 1
early 1
easier 1
eavesdropping 1
eldest 1
elements 1
ends 2
engaged 1
enna 3
ensues 1
entourage 1
erstwhile 1
escaping 1
even 1
eventually 1
exchange 1
falada 2
fallen 1
father 1
fathers 1
favor 1
feels 1
fellow 1
festival 1
fields 1
fifteen 1
fight 1
figure 1
finally 1
find 1
finds 1
fixes 1
flee 1
flees 1
for 1
forced 2
forest 3
forestborn 1
forests 1
friend 2
friends 2
from 3
funeral 1
garden 1
geese 2
geric 6
get 2
gift 6
gifts 1
gilsa 3
girl 1
goes 3
gone 1
guard 5
guards 3
had 3
hair 1
has 4
have 3
having 1
he 1
her 23
herself 2
hides 1
him 1
his 1
horse 1
however 5
identities 1
identity 1
if 1
in 14
inability 1
inheriting 1
injustice 1
intervene 1
is 22
isi 1
isilee 1
isolated 1
it 4
jumps 1
keeps 1
keymistress 1
kildenree 4
kildenrees 1
kill 2
kind 1
king 3
kingdom 2
kings 2
kiss 1
know 1
ladyinwaiting 1
later 5
launch 1
leading 1
learns 1
leave 1
leaves 1
leaving 1
led 1
like 1
literally 1
love 1
lying 1
manipulate 1
many 2
marry 1
mental 1
might 1
military 1
mixed 1
monarchs 1
more 2
most 1
mother 5
much 1
mutineers 1
mutiny 1
named 3
naturespeaking 2
neighboring 1
neighbors 1
nicknamed 1
not 3
nowlover 1
nursemaid 1
observes 1
odd 1
of 14
official 1
on 6
or 1
others 1
out 4
party 1
people 3
peoplespeaking 3
perfect 1
persuade 1
place 2
planning 1
power 1
powerful 2
preferring 1
preparing 1
primarily 1
prince 3
princess 4
proclaims 1
proof 1
prove 1
queen 2
quickly 1
quiet 1
rare 1
reader 1
real 1
recognized 1
recovers 1
rejoicing 1
remaining 1
replace 1
retires 1
returns 1
reveal 1
revealed 2
reveals 1
ride 1
riding 1
royal 1
say 1
says 4
secret 2
see 1
seeks 1
segregation 1
selia 9
selias 2
sends 1
sets 1
she 24
show 1
small 1
smarting 1
so 5
sociable 1
solace 1
son 1
soon 4
sounds 1
spotted 1
stabbed 2
still 3
stories 2
story 1
stronger 1
supported 1
supporters 2
surprise 1
take 2
talianna 1
talk 1
talks 1
tell 1
tells 2
tending 2
tends 1
that 14
the 63
their 2
them 3
then 2
there 1
they 3
things 1
thinks 1
though 1
three 1
throne 2
through 2
time 1
to 40
travel 1
true 1
trust 1
ungolad 4
up 2
using 2
very 1
want 1
was 5
watches 1
wedding 1
were 1
what 1
when 2
which 2
while 4
who 8
whom 1
whose 1
will 1
wind 1
winter 1
with 15
witnessed 1
woman 1
woods 1
work 1
younger 1
your 1
