4118482
/m/0bk2_l
/m/0bk2_l
Piers Anthony
1987-10
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 4
always 1
and 2
are 1
as 1
ask 1
bad 1
become 1
brass 1
brassie 1
bria 1
bugs 1
by 1
can 2
castle 1
centaur 2
chem 1
chex 3
curves 1
daughter 1
decide 1
decided 1
demon 1
demons 1
despite 1
discover 1
discovers 1
dreams 1
due 1
during 1
equine 1
esk 2
ever 1
fall 1
flicks 1
fly 3
for 1
go 1
going 1
good 2
has 2
having 1
heavy 1
her 3
him 1
hippogryph 1
his 3
home 1
how 2
humfrey 1
hypnogourd 1
in 1
infested 1
is 3
items 1
kissme 1
kopaczy 1
later 1
light 1
look 1
love 1
magician 2
make 1
manufactured 1
meet 1
meets 2
missing 1
of 4
on 2
out 1
own 1
pldolina 1
problem 2
provides 1
replaces 1
river 2
s 1
she 3
since 1
solid 1
solution 1
speech 1
straighten 1
tail 1
team 1
temporarily 1
that 1
the 9
them 2
they 4
through 1
to 8
two 1
unable 1
unbearably 1
undulating 1
up 1
v 1
vole 1
volney 2
way 2
weight 1
when 2
where 1
which 1
who 1
winged 1
wings 1
with 4
woman 1
xap 1
