7193894
/m/025vq_2
/m/025vq_2
Nicholson Baker
2004
{"/m/02xlf": "Fiction"}
2004 1
a 3
abandoned 1
american 1
and 5
are 1
as 2
asking 1
assassinate 1
bankruptcy 1
begins 1
ben 4
blogs 1
bush 1
cancel 1
characters 1
consists 1
conversation 1
day 1
days 1
dc 1
decided 1
declared 1
depressed 1
dialogues 1
ends 1
explains 1
for 1
from 1
george 1
go 2
going 1
good 1
has 3
have 1
he 4
high 1
him 1
himself 1
his 7
hotel 2
humankind 1
in 4
inconclusively 1
inferred 1
is 3
it 1
jay 6
job 1
kill 1
labourer 1
left 1
liberalism 1
life 1
lost 1
main 1
may 1
men 1
mission 1
modern 1
must 1
not 1
novel 2
now 1
of 3
or 1
persuade 1
plan 1
president 1
reader 1
reading 1
room 2
school 1
spends 2
story 1
symbolises 1
teach 1
that 3
the 7
their 1
then 1
through 1
time 1
to 6
trying 1
two 1
unaware 1
w 1
washington 1
whether 1
who 1
with 2
women 1
works 1
