539738
/m/02n14j
/m/02n14j
Ivo Andrić
1945
{"/m/05hgj": "Novel"}
108 1
112 1
113 1
114 1
1566 1
1th 1
60 1
a 23
abandoned 1
about 1
accepting 1
across 4
adequate 1
advance 1
after 1
against 2
age 1
all 3
almost 1
along 1
already 1
also 1
although 1
among 1
an 1
and 38
andri 3
annex 1
annexation 1
another 2
apparent 1
are 6
area 1
arise 1
around 1
arrive 1
as 7
assassinates 1
at 5
attempt 1
austria 3
austriahungary 1
austrian 1
austrians 4
austrohungarian 2
available 1
balkan 1
balkans 3
barrack 1
be 1
because 1
become 3
becomes 4
been 2
before 1
begin 2
beginning 1
begins 2
behead 1
belgrade 1
berlin 1
better 1
between 3
blow 1
boat 1
book 1
border 1
bosnia 4
boy 1
bridge 12
bring 1
bringing 1
build 1
building 1
built 3
businesses 1
but 2
by 1
called 1
camaraderie 1
can 1
caravanserai 3
causes 1
centuries 1
century 2
changes 2
child 1
children 3
christian 1
christians 1
clear 1
come 1
completed 2
completely 2
completion 1
conditions 1
conflict 1
congress 1
conquers 1
conquest 1
construction 2
continue 1
contribution 1
countries 1
crisis 3
customs 1
decides 1
declares 1
defeated 1
describes 1
devshirme 1
difficulties 1
divisions 1
do 1
drina 2
due 1
during 2
dynasty 1
educated 1
emerge 1
empire 4
especially 1
establish 1
evacuate 1
even 2
evident 1
excellent 1
experiences 1
famous 1
ferdinand 1
ferry 1
first 3
five 1
flawed 1
floods 1
focuses 1
follow 2
for 3
forced 1
foreigners 1
formally 1
former 1
foster 1
franz 1
friendly 1
from 6
frontline 1
fully 1
funds 1
further 1
gate 2
gauge 1
gavrilo 2
give 1
grand 1
guardpoint 1
habsburg 1
han 1
hand 1
has 2
haunts 1
have 2
he 2
heal 1
help 1
herzegovina 3
him 1
his 2
historically 1
home 1
how 3
however 1
hungary 1
ideas 2
if 1
importance 1
important 1
in 14
incite 1
independent 1
influx 1
instead 1
interethnic 1
into 2
invasion 2
is 15
it 10
its 3
jews 1
kapiathe 1
karaorevis 1
kingdom 2
lack 1
later 4
learns 3
levy 1
line 2
link 1
living 1
local 1
longer 1
maintenance 1
many 2
materiel 1
meeting 1
mehmed 2
men 1
merely 1
middle 2
modernisation 1
moment 1
montenegro 1
mood 1
most 2
mother 2
mothers 2
muslim 1
muslims 1
name 1
narrow 1
nationalist 1
nationalistic 1
native 1
neighbour 2
neighbouring 1
never 2
newspapers 1
night 1
no 2
nonserbian 1
not 4
novel 1
now 3
numerous 1
obstacle 1
occupy 1
of 39
old 1
on 4
one 1
opening 1
opportunity 1
or 1
order 1
out 1
over 1
part 1
parted 1
parts 3
pasha 1
pashaluk 2
pass 1
passes 1
people 4
place 1
point 1
poor 1
popular 1
population 1
portions 1
portraying 1
possibility 1
potential 1
power 1
preparing 1
presentday 2
princip 2
project 1
promoted 1
protectorate 1
pushed 1
quickly 3
railway 2
raises 1
rather 1
reach 1
reader 3
rebels 1
receives 1
reduced 1
referred 1
regains 1
regions 1
regular 1
relations 1
relationships 1
relaxed 1
replacing 1
rest 2
right 1
river 5
road 1
role 1
roma 1
royal 1
rule 1
sabotage 1
sarajevo 5
seemed 1
sees 1
separation 1
sephardic 1
serbia 6
serbian 3
serbians 1
serbs 5
serfs 1
serious 1
significance 2
signifying 1
since 1
site 2
small 1
smuggle 1
so 3
sokolovi 1
soldiers 2
solidarity 1
some 1
something 1
sons 1
soon 1
span 1
stand 1
stands 1
start 1
starts 1
state 1
still 2
stop 1
strike 1
studies 1
subjects 1
subsequently 1
substantial 1
suddenly 2
sultan 1
surrounding 1
suspect 1
swiftly 1
taken 2
taking 1
tensions 2
territory 1
thanks 1
that 8
the 90
their 6
them 3
themselves 1
then 1
there 1
these 2
they 5
this 4
throughout 1
thus 3
time 1
to 21
together 1
towards 1
town 2
transport 2
troubles 1
turkey 3
turkish 3
turks 1
turn 1
turns 1
typical 1
undermine 1
unifier 1
unreliable 1
until 1
up 1
uprising 1
variously 1
very 1
viegrad 4
vienna 1
vizier 1
wailing 1
war 2
wars 1
was 2
wellconstructed 1
what 1
when 3
where 2
which 1
while 2
who 1
wider 1
will 1
with 8
within 1
without 1
work 1
working 1
world 2
would 1
year 1
years 1
yet 2
young 1
yugoslavia 1
