915730
/m/03pl94
/m/03pl94
Frank Herbert
1972
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
15 2
158 1
160 1
a 8
about 1
adjustment 1
after 3
agency 1
agent 1
allhuman 1
amel 1
an 1
and 5
appeared 4
as 1
astounding 3
at 1
auspices 1
be 1
becomes 1
belief 1
between 1
bridging 1
can 1
civilization 1
concepts 1
consentiency 1
correctly 1
creating 1
dangerous 2
develop 1
develops 1
drafted 1
dune 1
engineering 1
expanded 1
experience 1
explores 1
fantastic 1
february 2
fiction 4
first 1
focuses 1
following 1
for 1
four 1
from 1
galaxy 1
god 2
good 1
government 2
hamal 1
has 1
haystack 1
he 3
high 1
his 1
history 1
human 1
ia 2
identifying 1
in 6
injured 1
into 1
investigative 1
is 3
it 3
lewis 2
link 1
lost 1
maintain 1
manages 1
may 2
missing 1
neardeath 1
novel 2
number 1
of 6
on 2
operation 1
order 1
orne 1
passing 1
peace 2
planet 2
planets 3
powers 1
practice 1
priests 2
psi 1
psychic 1
religious 2
resolving 1
road 1
same 1
science 4
seen 1
series 2
set 1
short 1
situations 1
stories 2
story 1
take 1
tests 1
the 13
their 1
this 1
throughout 1
time 1
to 2
travels 1
under 1
universe 2
various 1
war 1
warlike 1
which 2
who 1
you 1
