28688132
/m/0czb12d
/m/0czb12d
Peggy Parish

a 5
after 1
all 1
amelia 6
and 3
anything 1
are 1
as 1
be 1
bedelia 1
bewildered 1
bite 1
by 1
cannot 1
chicken 1
choosing 1
chores 3
clothes 1
clothesline 1
complete 1
day 1
decides 1
delicious 1
despite 1
do 1
done 1
drapes 1
drawing 1
dresses 1
explicit 1
family 2
finds 1
firing 1
for 2
forgives 1
future 1
gives 1
goes 1
hanging 1
has 1
her 2
herbut 1
hired 1
home 1
in 3
instructions 1
is 2
it 1
keep 1
lemon 1
lights 1
list 1
literally 1
maid 1
make 1
meaning 1
meringue 1
more 1
mouth 1
mrs 2
nice 1
none 1
notebook 1
of 5
on 3
out 2
paper 1
pie 2
piece 1
proceeds 1
puts 1
return 1
right 1
rogers 4
seem 1
she 3
shoved 1
silly 1
so 1
take 1
that 1
the 13
them 1
tiny 1
to 7
verge 1
vows 1
wealthy 1
well 1
when 1
while 1
write 1
