717726
/m/035dxq
/m/035dxq
Gregory Keyes

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 12
able 1
aboard 1
act 1
after 3
against 3
all 1
alliance 3
along 1
alongside 1
also 1
among 2
an 1
and 24
anor 11
antilles 2
appears 1
are 5
as 8
attempt 1
away 1
back 2
battle 2
be 1
becomes 2
before 2
begin 2
believes 1
between 2
bilbringi 2
biology 1
brief 1
by 6
call 1
calling 1
calls 1
captured 1
cliff 1
collecting 1
come 1
commander 1
cores 3
corran 3
could 1
cowardly 1
creations 1
criminals 1
deal 2
deals 1
death 1
decides 1
decision 1
decisions 1
defeat 1
defenses 1
destined 1
dies 1
discovered 1
discovers 1
disguised 1
dna 1
do 1
doom 1
dying 1
each 1
elite 2
encounter 1
escape 1
escapes 1
espoused 1
eventually 1
evidence 3
executed 1
extermination 1
fades 1
failed 1
fears 1
fight 2
find 1
finds 1
five 1
focuses 1
followers 1
for 1
forced 2
forces 2
form 1
from 4
galactic 4
galaxy 1
general 1
get 1
go 1
going 1
group 1
happens 1
harbinger 1
harrar 4
has 1
have 1
he 3
help 2
her 1
heresy 1
him 2
his 6
holonet 1
home 1
horn 1
however 1
hyperdrive 3
hyperspace 1
identity 1
in 5
inducted 1
into 3
intrigued 1
invaders 1
invading 1
is 10
it 2
its 2
jacen 1
jaina 1
jedi 2
jumps 1
just 1
kill 3
killed 1
killing 1
knocked 1
know 1
known 2
lands 1
lingering 1
living 5
luke 1
made 1
main 1
makes 1
mara 1
master 1
meant 1
meanwhile 1
mentioned 1
more 1
mortally 1
much 1
navigation 1
nen 11
new 1
ngaaluh 1
nom 11
novel 3
now 1
of 13
off 1
officers 1
on 3
ones 2
or 2
order 3
other 1
others 1
over 1
overlord 1
overthrow 1
own 1
part 1
pick 1
planet 2
plans 1
plot 1
polyp 1
predecessor 1
presence 1
previous 1
priest 1
prompted 1
quite 1
quoreal 2
quorealist 1
quorealists 2
remnants 1
rescued 1
respond 1
result 1
retreat 1
returning 1
revealed 1
reveals 3
saba 1
sabotaging 2
save 1
scrambled 1
sebatyne 1
secret 1
sekot 6
sekotan 3
send 1
several 1
shamed 2
shaper 1
she 2
shelter 1
shimrra 7
ship 4
shocking 1
similar 1
skywalker 1
so 1
solo 2
soon 2
space 2
spacecraft 1
spell 1
starting 1
station 1
studies 1
study 1
subplot 1
successful 1
successfully 1
suddenly 1
supporters 2
supreme 1
system 1
tahiri 3
taken 2
taking 1
tell 1
that 9
the 54
their 2
them 1
then 1
they 3
this 2
throne 1
to 29
toothandnail 1
travel 1
travelers 1
true 1
truth 1
turncoat 1
uncovered 1
up 1
upon 1
use 1
veila 1
via 1
vong 8
wane 1
was 1
ways 1
wedge 1
well 1
what 3
when 1
where 1
which 1
while 1
who 1
whole 1
wife 1
will 1
with 7
world 6
would 2
wounds 1
yim 11
yuuzhan 6
yuuzhantar 1
zonama 5
