14441948
/m/03d3nx6
/m/03d3nx6
Lin Carter
1974-07
a 27
able 2
abyss 1
add 1
after 1
aggravated 1
akhmim 1
albinos 1
along 1
also 2
altitude 2
always 1
am 1
an 4
and 24
another 1
ants 1
any 1
ardha 1
are 6
arjala 5
armed 1
around 1
as 14
assassin 1
at 7
attack 1
attempt 1
attempts 1
awaken 1
away 1
back 1
bald 1
barbarian 1
barbarians 1
be 2
beautiful 1
been 2
before 1
being 1
bird 1
black 1
blackpainted 1
blinds 1
blue 2
blueskinned 1
boat 1
breakfast 1
brings 1
burnsfor 1
but 3
button 1
by 10
calidar 3
can 1
cannot 1
captive 3
captured 1
capturing 1
case 1
catch 1
caves 1
chased 1
city 4
clyon 1
colour 1
comes 2
condemned 1
consciousness 1
control 3
cousins 1
cover 1
criticises 1
dangerous 1
death 1
delgan 6
destroyed 1
detected 1
died 1
dinosaursized 1
disappointed 1
discusses 1
dislike 1
dissuade 1
distance 1
do 1
due 1
during 1
earlier 1
earthworms 1
ebonskinned 3
effeminate 1
elder 1
enemies 1
entirely 1
escape 5
escaping 1
even 1
eventually 1
exceeding 1
exceeds 1
extremely 1
eyes 1
face 1
failure 1
fallen 1
falls 1
fascinating 1
feeling 1
find 1
finds 3
flash 1
flee 1
fleeing 1
flight 3
floating 1
floor 2
flying 1
followed 1
food 1
for 2
forefront 1
forest 2
free 1
friend 1
from 5
gave 1
get 1
gives 1
giving 1
go 1
goddess 1
gorya 4
green 1
grubs 1
gurjan 2
had 6
has 3
haughtiness 1
have 1
haveand 1
having 1
hawklike 1
he 6
hear 1
her 6
herd 1
high 1
higher 1
him 9
himself 1
hipposized 1
his 4
hit 1
horror 1
how 1
however 2
huge 4
human 1
humiliation 1
hurry 1
i 2
identifies 1
immediate 1
in 10
including 1
informs 1
initially 2
inland 1
integrated 1
into 3
intrigues 1
invention 1
is 13
isles 2
islewhere 1
it 3
items 1
its 4
janchan 2
joy 1
kaloodha 1
karn 15
keep 1
kill 4
killed 1
kills 2
king 1
klygon 14
knocks 1
known 2
knows 2
kraan 2
land 2
lands 1
large 1
largest 1
later 2
leaf 1
led 1
lesspowerful 1
lightningbright 1
lightningemitting 1
lived 1
looks 1
made 1
madnesstimes 1
man 3
many 1
master 1
meantime 2
meet 1
meeting 1
men 2
merely 1
mind 1
mindcontrol 1
mockingly 1
more 1
morning 1
must 1
my 2
named 1
near 1
niamh 6
night 2
nimbalim 3
no 2
not 2
notices 1
now 1
observes 1
of 27
old 2
on 7
one 5
only 4
or 1
ordered 1
out 2
outside 1
over 1
overhead 1
overjoyed 1
painrod 1
panicking 1
parked 1
particularly 1
past 1
phaolon 2
phuol 1
piloted 1
pilotting 1
plan 1
plentiful 1
point 2
ponders 1
prepare 1
princessgoddess 1
prioreven 1
provides 1
punish 1
pursues 1
pursuing 1
pushes 1
quartet 1
race 1
ralidux 3
rapier 1
rapiers 1
rather 1
reclaim 1
recognitionbut 1
red 1
refined 1
reflection 1
regain 1
regains 1
remaining 1
reminds 1
restart 2
ride 2
rider 1
riders 2
riding 2
rises 1
robs 1
rootnetworks 1
rude 1
safe 1
sarchimus 1
sea 1
see 2
sense 1
sentenced 1
serious 1
set 1
shadow 2
she 5
shelter 1
short 1
should 1
similar 1
skin 1
skysled 5
slaughter 1
slave 1
slays 1
sluth 3
sluthbut 1
small 1
smallfor 1
so 2
solution 1
some 1
sometime 1
source 1
speed 2
spent 1
star 1
states 1
stop 1
stopped 1
strikes 1
stymied 1
such 1
suggested 1
surface 1
taken 4
takes 2
tap 1
tasteless 1
tells 3
tenders 1
terms 1
tethering 1
that 10
the 66
their 6
them 4
then 3
there 2
these 1
they 13
this 2
though 2
thousand 1
thrilled 1
throne 1
thrusts 1
till 1
to 27
togetheras 1
told 1
too 2
tor 2
torch 1
tortuously 1
toward 1
travel 1
travellers 2
trees 1
treetops 1
tribe 1
tries 1
trio 2
troglodytes 3
true 1
turned 1
turns 2
two 3
unconscious 2
use 1
used 1
version 1
viewed 1
visits 1
wand 1
warning 1
warns 1
warriors 1
water 1
weathercloak 2
welcomed 1
when 5
which 12
whipping 1
who 7
whom 2
will 1
wings 1
wish 1
witchlight 3
with 5
years 1
ygnoum 3
yoth 1
younger 1
zaiph 1
zaiphs 4
zarqa 4
zawkaw 7
zawkawon 1
zawkawriders 1
zoukar 3
zoukarand 1
