14257663
/m/03czds5
/m/03czds5
Maeve Binchy

a 2
accident 1
adored 1
always 1
an 2
and 6
are 2
at 1
attractive 1
avenge 1
becomes 1
benny 3
bennys 1
best 1
brings 1
brought 1
but 1
by 1
cake 1
careless 1
characters 2
clown 1
college 1
daughter 1
day 1
disappointments 1
draw 1
dublin 1
during 1
eve 2
expecting 1
fellow 1
fictitious 1
first 1
foley 1
for 2
forged 1
friends 1
friendships 1
girl 1
goodnatured 1
group 1
hard 1
in 3
intensely 1
irish 1
it 1
jack 1
knockglen 1
largeboned 1
later 1
life 1
like 2
loyal 1
mahon 1
named 1
nan 2
nans 1
need 1
new 1
nuns 1
obese 1
obsessed 1
occurs 1
of 3
on 2
only 1
optimism 1
orphan 1
pay 1
quickly 1
resentful 1
rock 1
seems 1
selfish 1
she 1
short 1
small 1
soft 1
story 1
straw 1
students 1
takes 1
the 11
their 1
to 4
together 1
town 1
trouble 1
two 1
university 1
up 1
wants 1
was 1
what 1
while 1
who 1
wiry 1
with 2
without 1
