1632458
/m/05j668
/m/05j668
Wole Soyinka

a 4
according 1
accusing 1
action 1
addition 1
adrift 1
afterlife 1
already 1
and 8
another 1
as 6
ascend 1
at 1
attached 1
authorities 1
barbaric 1
based 1
be 1
because 1
been 1
before 1
begins 1
being 2
blames 1
breaking 1
bring 1
british 2
builds 1
by 2
called 1
catastrophic 1
celebration 1
character 1
chief 4
collectivity 1
colonial 1
commits 1
community 2
condemning 1
consequently 1
cosmic 1
day 1
dead 1
death 2
degraded 1
dialogue 1
disruption 1
documents 1
doubt 1
duro 1
earth 2
elesin 5
essential 1
europe 1
events 1
existence 1
family 1
father 1
figure 1
final 1
first 1
focus 1
followed 1
for 1
from 1
fulfill 1
future 1
had 1
half 1
harm 1
has 1
have 1
helping 1
him 1
himself 1
his 6
honour 1
horseman 4
illegal 1
in 9
incident 1
insufficient 1
intervenes 1
is 5
kills 1
king 3
ladipo 1
language 1
last 1
lead 1
lifeloving 1
living 1
local 1
may 1
means 1
medicine 1
minute 1
much 1
must 1
native 1
next 1
nigeria 1
nigerian 1
now 1
oba 1
obligations 1
of 15
olunde 1
on 3
order 2
otherwise 1
out 1
people 1
pilkings 2
place 1
play 3
playwright 1
potent 1
process 2
responsibility 1
restore 1
result 1
returned 1
ritual 5
ruler 1
simon 1
so 1
son 1
soul 1
spirit 3
spiritual 1
story 1
studying 1
suggests 1
suicide 3
takes 1
that 2
the 47
this 3
thus 1
title 1
to 11
too 1
tradition 1
tragedy 1
true 1
unfolds 1
universe 2
upon 1
viewed 1
void 1
waja 1
wander 1
wellbeing 1
when 1
who 1
will 1
with 1
world 2
written 1
yoruba 3
