5777045
/m/0f40zj
/m/0f40zj
Brian Keene
2006-05
40day 1
a 5
all 1
an 1
and 3
annelids 1
are 1
at 1
back 1
baltimore 1
before 1
bizarre 1
book 1
brings 1
buddy 1
buses 1
can 1
carl 2
crash 1
creature 1
daily 1
doom 1
earthworms 1
even 3
explores 1
fending 1
flood 1
garnett 1
giant 1
global 1
graphically 1
has 1
helicopter 1
his 2
holed 1
holes 1
home 1
house 1
humanity 1
in 4
including 1
insanity 1
inspire 1
into 1
it 2
keep 1
kevin 1
killer 1
last 1
leads 1
left 1
life 1
long 1
makes 1
maneating 1
monstrous 1
more 1
mountain 1
nearby 1
of 4
off 1
outpost 1
over 1
part 1
puzzling 1
rainstorm 1
sarah 1
scares 1
seaton 1
second 1
showdown 1
showing 1
size 1
slambang 1
slimecoated 1
so 1
story 2
stranger 1
struggle 1
survivors 1
tale 1
tatters 1
teddy 6
tells 1
than 1
that 3
the 7
their 1
things 1
this 1
through 1
to 1
two 1
up 3
with 1
yard 1
