28912721
/m/063k9vb
/m/063k9vb
Gail Carriger
2010-03
0316074144 1
1 1
18 1
1841474 1
2 1
2010 5
2011 2
783442376506 1
a 6
accepted 1
actress 1
alexia 4
all 2
also 1
alternate 1
an 2
and 8
anita 1
announced 2
april 1
are 1
as 3
author 2
baldini 1
be 1
before 1
beings 1
blanvalet 1
books 3
brennende 1
burning 1
but 1
by 7
caballero 1
can 1
castoldi 1
changeless 1
cover 3
creative 1
darkness 1
date 3
dates 2
derek 1
designed 1
difference 1
director 1
disappearance 1
distress 1
does 1
donna 1
edition 3
effort 1
england 1
entangles 1
exorcised 1
fact 1
finds 1
finsternis 1
for 3
francecalmann 1
french 1
functioning 1
german 1
germany 1
ghosts 1
group 1
has 1
have 1
hayakawa 1
her 8
heroine 1
herself 1
his 1
history 1
husband 2
in 7
is 3
isbn 3
it 1
italian 1
japan 1
july 1
keen 1
known 1
lady 1
language 3
lauren 1
levy 1
lists 1
locate 1
lord 1
maccon 2
make 1
members 1
mind 1
model 1
neither 1
nirschl 1
no 1
novel 2
november 1
now 2
of 6
official 1
on 1
orbit 4
original 2
pack 1
panepinto 1
paperback 3
parasol 1
photograph 1
plus 1
poland 1
portraying 1
powers 1
press 1
problems 1
proszynski 1
pub 3
publication 2
publish 2
put 1
queen 1
regiment 1
released 1
ricci 2
scotland 1
search 1
september 1
set 1
sharp 1
she 2
society 1
soldiers 1
solve 1
soul 1
soulless 1
spanish 1
still 1
sudden 1
supernatural 2
taken 1
takes 1
tarabotti 2
that 2
the 12
this 1
thus 1
to 4
tongue 1
translated 1
trusty 1
uk 1
unaffected 1
unknown 1
upcoming 1
us 2
usa 1
uses 1
vampires 1
version 1
verstil 1
victoria 1
victorian 1
was 2
website 1
werewolf 2
werewolves 1
where 2
will 2
with 3
yen 1
