1921012
/m/0667b0
/m/0667b0
Roald Dahl

120 1
210 1
a 13
absence 1
acquire 1
all 2
am 1
among 1
an 1
and 22
ankle 1
annual 1
approaching 1
around 2
arrives 1
as 4
at 3
attempt 1
austin 1
baby 1
be 1
beauty 1
because 1
become 2
befallen 1
being 1
birds 2
book 1
brings 1
broken 1
buy 1
by 6
can 1
cannot 1
capturing 1
car 3
caravan 1
carriage 1
catch 1
cause 1
causes 2
champion 1
completely 1
constable 1
contents 1
cooking 1
curry 1
danny 13
day 1
decide 1
defecate 1
delivers 1
depart 1
died 2
direction 1
disabled 1
discovers 2
disgrace 1
doc 3
dopey 1
drives 2
drug 1
drugged 1
dubs 1
dwells 1
easily 1
eat 1
eaten 1
ends 1
ensues 1
escape 1
estate 1
eventually 1
fancy 1
father 1
favor 1
fearing 1
filling 1
find 1
finds 1
flee 1
for 1
forest 1
four 1
friend 1
from 5
garage 1
gentry 1
go 1
groggy 1
gypsy 1
habitually 1
had 2
hailed 1
hair 1
has 2
hat 1
have 1
having 2
hazell 9
he 5
help 1
herd 1
hide 1
him 4
himself 1
his 6
home 2
horse 1
hosts 1
house 1
however 1
humiliate 1
imagination 1
in 8
injury 1
inside 2
inspectors 1
intending 1
is 6
it 1
just 1
land 1
lived 1
local 2
lodged 1
many 2
match 1
method 1
methods 1
misfortune 1
months 1
most 1
mother 1
motor 1
mr 7
narration 1
new 2
next 1
nine 1
no 1
occasion 1
of 7
off 3
old 2
on 3
one 1
only 2
onto 1
operates 1
out 1
oven 1
oversized 1
paintwork 1
part 1
party 2
pheasant 3
pheasants 11
pheasantshooting 1
pill 1
pills 1
pittrap 1
placing 1
poached 1
poacher 1
poaching 2
preoccupied 1
prescribed 1
prestige 1
presumably 1
pump 1
put 1
quite 1
raisin 4
raisins 2
recovering 1
refuses 1
reveals 1
rolls 1
royce 1
ruined 1
samways 2
scratch 1
serve 1
seven 1
several 1
sgt 2
she 1
shoot 1
shooting 1
should 1
shouting 1
sit 1
six 1
sleeping 5
so 3
some 1
speciallybuilt 1
spencer 3
station 3
sticky 1
suggests 1
swallow 1
tablets 1
tail 1
take 1
taken 1
taxicab 1
that 6
the 29
their 3
them 1
then 1
there 1
they 4
this 2
threaded 1
threatens 1
throat 1
through 1
to 10
too 1
toward 1
towards 1
town 1
treated 1
trying 1
turn 1
up 1
vicar 2
victor 1
visit 1
vivacity 1
waking 1
walk 1
walking 1
was 2
wear 1
when 5
where 3
whereafter 1
which 2
while 2
who 2
whom 1
widowed 1
wife 1
will 2
william 18
with 3
without 1
woken 1
wood 2
world 1
years 1
