1121236
/m/047wd7
/m/047wd7
Günter Grass
2002
10000 1
145 1
30 1
a 6
above 1
according 1
adopts 1
after 1
all 1
already 1
also 1
am 2
among 2
an 1
and 10
another 1
as 2
at 1
because 3
become 1
blutzeugede 1
board 1
boat 1
born 3
by 5
cat 1
celebrated 1
chance 1
circumstances 1
commemorate 1
continually 1
course 1
danzig 2
david 1
day 1
dead 1
deed 1
desecrating 1
developed 1
dialogue 1
discovers 1
dog 1
down 1
duty 1
estranged 1
event 1
eventually 2
explores 1
eyes 1
forced 1
former 1
found 1
frankfurter 3
from 1
fulfill 1
german 1
gustloff 6
had 2
hands 1
has 2
he 4
heavily 1
herself 1
him 2
himself 2
his 8
hometown 1
i 4
imprisoned 1
in 9
influence 1
influenced 1
interest 1
internet 1
is 5
it 2
january 1
jew 1
jewish 2
journalist 1
joy 1
known 1
konny 4
life 1
man 1
martyr 1
meet 1
memorial 1
mirroring 1
moment 1
more 1
mother 1
mothertobe 1
mouse 1
murder 1
narrator 3
neonazis 1
new 1
not 1
novella 1
of 9
on 7
part 1
parts 1
passengers 1
paul 2
persona 1
pokriefke 2
police 1
projects 1
readers 1
realise 1
rescued 1
research 1
result 1
role 1
said 1
sank 1
saved 1
schwerin 1
ship 5
shooting 1
shoots 1
shot 2
sinking 1
son 2
spits 1
state 1
stremplin 1
strength 1
such 1
sunk 1
taken 1
than 1
that 5
the 27
them 1
these 1
those 1
though 1
three 1
through 2
thus 1
times 1
to 7
torpedo 1
trilogy 1
tulla 4
two 2
urges 1
was 4
website 1
went 1
when 1
which 2
who 1
wilhelm 1
wolfgang 2
writing 1
years 1
young 2
