607536
/m/02v_1f
/m/02v_1f
Fyodor Dostoyevsky
1880-11
a 49
able 1
about 1
accepting 1
acknowledging 1
act 2
action 1
admiration 1
admonishes 1
aforementioned 1
after 5
again 2
against 3
agree 1
aiding 1
ailing 1
alive 1
all 8
alleged 1
almost 1
already 2
also 3
always 1
alyosha 27
america 1
american 1
an 5
and 84
apologizes 2
apology 1
apparently 2
appears 1
approves 1
are 4
arguments 1
around 1
arrest 1
arrive 1
arrives 2
as 20
aside 1
assaulted 1
assaults 1
assumed 2
at 17
atheism 1
await 1
away 5
back 6
bar 1
be 4
beard 1
because 7
become 3
becomes 1
becoming 1
bedside 1
been 1
before 5
begins 7
begs 1
belief 1
beliefs 5
believe 1
believes 1
benefactor 2
betrothed 2
between 7
bites 1
bitter 1
blood 1
bodies 1
body 4
book 30
boorish 1
bored 1
both 2
boy 3
boys 6
brass 1
bread 1
bribing 1
brilliant 1
bringing 1
brother 3
brothers 2
built 1
burden 1
bursts 1
business 1
but 5
by 18
calls 1
came 1
can 2
cannot 1
captain 1
cards 1
carried 1
cart 1
cell 1
challenged 1
chanting 1
chapter 2
charged 1
cheats 1
children 2
chronicled 1
chronicles 1
circumstances 1
claims 1
close 2
closing 1
cloth 1
come 2
comes 1
commit 1
commonly 1
companions 1
completely 1
complicit 1
concerning 1
concludes 3
conclusion 1
confession 2
confront 1
consequently 1
consoles 1
constantly 1
contains 1
continues 1
contra 1
conversation 2
convinced 1
convulsively 1
corrupted 1
corruption 1
courtroom 2
covered 1
created 1
creation 1
cries 1
crime 2
critics 1
crowd 1
culminating 1
damning 1
danger 1
dash 1
dawn 1
day 2
daze 1
dead 1
deal 1
dealing 1
deals 1
death 5
decays 1
deceased 1
deceived 1
deception 1
deciding 1
decompose 1
defended 1
defense 1
degenerates 1
delight 1
descent 1
described 1
describes 2
describing 1
destined 1
destitute 1
destructive 1
detail 1
details 4
devastated 1
developed 1
devil 1
devoted 1
did 1
dinner 1
directly 1
disappeared 1
disbelief 1
discontinuity 1
discovers 1
discussion 1
dispute 1
distant 1
distraught 1
dmitri 35
dmitry 3
do 1
doctor 1
does 2
doesnt 1
dog 1
dostoyevsky 3
dragged 1
drama 1
dramatic 1
drawn 1
drunken 1
drunkenly 1
due 3
duel 1
during 1
each 5
earlier 1
early 1
earn 1
earth 2
earthly 1
echoing 1
eight 1
elder 5
elders 1
eleven 2
embarking 1
embarrassment 1
embraces 1
emotion 1
emotionally 1
encounter 1
end 1
ends 2
enter 1
entire 1
epileptic 1
epilogue 1
error 1
erupted 1
escape 3
escorts 1
especially 2
espoused 1
establishes 1
europe 1
even 2
evening 3
everyone 1
everything 1
evidence 2
exacerbates 1
exactly 1
expectation 1
explains 3
explored 1
expresses 1
fabricated 1
failed 1
faith 2
faked 1
falling 1
family 3
famous 2
fatal 1
father 11
feat 1
fed 1
feud 1
fiance 1
final 5
finally 2
find 1
finds 1
finger 1
first 6
fit 1
five 1
flame 1
flees 1
follow 1
following 2
food 1
footsteps 1
for 24
forever 2
forgive 1
formally 1
former 3
forward 1
found 1
foundation 1
four 3
free 1
fresh 1
friends 2
from 11
full 1
fully 1
fun 1
funeral 2
furious 1
further 1
future 1
fyodor 12
fyodorovich 1
game 1
gathering 2
gave 1
gesture 1
give 1
given 1
go 1
god 3
goes 1
going 1
gradually 1
grand 3
great 1
gregory 1
grief 1
group 1
grushenka 18
grushenkaanother 1
guards 2
guilt 1
guilty 1
had 5
half 1
hallucination 1
hand 2
hands 1
hard 1
hardships 1
harsh 1
has 8
have 7
having 2
he 37
head 1
hearing 1
heart 1
hearts 1
held 1
help 2
her 9
here 3
hides 1
him 19
himself 5
his 51
history 1
hold 1
holy 2
home 4
honor 1
hope 1
hospital 1
house 3
household 2
however 2
huge 1
humans 1
humiliation 1
hurrah 1
hurt 1
idea 1
ideas 1
ideology 1
if 2
ignorance 1
illness 3
ilyusha 14
imagine 1
imagined 1
immediately 2
impassioned 2
implicating 1
implores 1
importantly 1
in 55
inappropriate 1
incapacitated 1
indifference 1
influence 2
inform 1
informs 1
inheritance 1
initially 1
innocent 1
inquisition 1
inquisitor 4
instead 1
instilling 1
instructed 1
intending 2
interrogation 1
intervention 1
into 5
introduces 4
introduction 1
investigation 1
involve 1
irrationally 1
is 43
isolated 1
it 11
its 1
ivan 19
jail 1
jesus 4
join 1
joins 1
joke 1
joy 1
judicial 1
just 2
karamazov 9
katerina 8
keep 3
kill 3
killed 1
kisses 3
knocking 1
know 1
known 1
kolya 10
krasotkin 1
labor 1
lacerationsstrains 1
land 1
last 2
late 1
later 3
lawyers 1
leader 1
learned 1
learning 1
learns 2
leave 1
leaving 1
led 1
left 2
legend 1
lets 1
letter 2
lies 2
life 2
lips 2
listen 1
little 1
living 1
lizaveta 1
loads 1
local 1
lodge 2
look 1
loss 1
love 8
loved 1
lover 1
mad 1
made 1
madness 2
maintains 1
making 2
maltreatment 1
man 1
many 2
marriages 1
marry 2
may 2
means 1
meanwhile 1
mediator 1
meeting 7
meets 2
memories 1
memory 1
men 2
middle 1
mind 1
mitya 1
mocking 1
moment 2
monastery 4
monetary 1
money 9
monk 2
more 4
most 1
mother 2
motive 1
mourning 1
moved 1
murder 6
murdered 1
must 2
mysterious 1
name 2
named 3
names 1
narrates 1
narrative 1
narrator 1
near 3
neighbor 1
neighboring 2
never 2
next 1
nice 1
nihilist 1
nihilistic 1
nine 2
no 2
not 10
nothing 1
novel 4
now 1
observing 1
of 59
off 1
offers 1
officers 1
old 2
on 11
one 4
only 3
opening 1
opens 1
or 1
order 1
orgy 1
orgyand 1
origins 1
other 9
others 2
out 5
outside 1
over 4
overwhelming 1
owes 1
own 2
parallels 1
part 2
particularly 1
party 2
passed 1
passes 1
passionately 1
past 1
path 1
patricide 1
pay 1
pays 1
peers 1
people 2
perception 1
perhaps 2
permeated 1
permitted 1
person 1
personalities 1
personality 1
pestle 3
petrified 1
philosophy 1
pin 1
place 2
plan 3
plans 1
pocket 1
poem 2
point 1
points 1
poke 1
pole 1
police 1
poor 1
prank 1
preaches 1
preliminary 1
presence 2
present 1
presented 1
presents 1
previous 2
pride 1
primarily 1
prison 1
pro 1
process 1
proclaims 2
produces 1
professed 1
progressively 1
promise 2
promises 1
property 1
prosecutor 1
proud 1
provides 1
pursuit 1
putrefaction 1
puts 1
putting 2
quest 1
question 1
questioned 1
quickly 1
rages 1
railroad 1
rakitin 1
rationalist 1
raving 1
ready 1
really 1
reassess 1
rebellion 1
rebellious 1
recent 1
reconciled 1
recounting 1
recover 1
recovering 1
redemption 1
referred 1
regeneration 1
rejected 1
rejects 1
relates 2
religious 1
remarks 1
remember 3
renewed 1
represents 1
resentful 1
respect 1
responds 1
responsible 1
rest 1
restaurant 1
result 2
resulting 1
results 1
resurfaces 1
return 4
returned 1
returns 1
revealed 1
reveals 1
rightful 1
robbery 1
rocks 1
romanticism 1
rubles 4
run 1
running 1
runs 2
russia 3
russian 1
satirized 1
satisfy 1
say 1
saying 1
says 3
scandal 1
scene 1
schoolboy 1
schoolboys 3
secondly 1
section 4
see 2
seemingly 1
seems 2
seen 2
seizure 1
send 1
sensualists 1
sentence 2
servant 1
set 2
seven 1
several 1
sewed 1
sharply 1
she 6
shock 1
shortly 2
should 1
shouts 1
siberia 1
sickly 1
side 1
silently 1
sin 1
since 1
sins 2
sister 1
six 1
sixth 1
smell 1
smerdyakov 11
snegiryov 5
so 2
socialism 1
softly 1
some 1
something 1
son 3
soon 5
spanish 1
speech 1
spent 2
spies 1
spiritual 3
spiteful 1
staff 1
staffcaptain 1
states 1
steps 1
stinking 1
stolen 1
stone 2
story 5
street 2
stunned 1
submit 1
succumb 1
such 2
suddenly 2
suffer 1
suffered 1
suffering 1
suggestion 1
sullying 1
surprise 1
take 1
taken 4
takes 3
talking 1
tears 1
telling 1
tells 1
ten 1
terrible 1
testimony 1
than 1
thanks 1
that 35
the 167
their 11
them 5
then 4
there 4
these 1
they 7
thief 1
third 2
this 15
those 1
though 2
thousand 3
thousands 1
threatening 1
three 7
threeyearold 1
through 1
throwing 1
throws 1
thus 1
time 2
times 1
titled 1
to 68
together 1
torments 2
town 5
tracks 1
tragedy 1
train 1
trial 4
triangle 2
tries 1
troubled 1
true 1
turn 1
turning 1
twelve 2
twenty 1
two 3
unbearable 1
under 2
unexplainable 1
until 2
up 4
upbringing 1
upon 1
uses 2
varying 1
verdict 1
visit 1
visited 1
vulnerability 1
was 8
well 3
were 1
westernizer 1
what 2
when 6
where 3
which 8
while 5
who 8
widely 1
wife 1
wild 1
will 8
window 1
wine 1
with 25
within 1
without 2
witness 1
woman 3
women 1
work 1
world 3
worsened 1
would 3
written 1
years 3
young 3
youth 1
zosima 14
