5640299
/m/0dxr1p
/m/0dxr1p
Glen Cook
1999-06
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 11
activists 1
activities 1
actually 1
after 3
against 1
alive 1
all 2
allow 1
alyx 2
amount 1
an 4
and 26
apparent 1
are 2
around 1
arrested 1
arrests 1
as 6
assailants 1
at 4
attack 1
attacked 1
attempt 3
back 3
bankrupted 1
barely 1
be 1
been 3
beer 1
belinda 4
best 1
block 5
blow 1
brewery 1
bringing 1
business 1
but 1
by 10
call 6
children 1
city 1
cleaning 1
colonel 3
come 1
company 1
complicated 1
concurs 1
contague 3
continues 1
crask 3
dark 1
date 1
daughter 1
day 1
dead 3
deal 2
dealing 1
dean 2
decides 1
detective 1
died 1
discovered 1
down 3
during 1
echelons 1
embezzlement 1
end 2
ending 1
engagement 1
english 5
ensure 1
estate 3
even 1
evening 3
events 1
expert 1
explains 1
extortion 2
fashion 1
fast 1
father 1
ferret 1
finale 2
finds 1
following 1
for 4
freeing 1
friend 1
from 3
garrett 22
get 2
gets 2
getting 1
giorgi 2
gone 1
group 2
guilty 1
had 1
has 5
hatches 1
have 2
he 7
headed 1
heads 2
help 5
helped 1
her 1
hiding 1
hightails 1
him 1
hire 1
his 6
home 4
household 1
how 1
human 1
impersonations 1
in 9
incapacitated 1
inclusive 1
infiltrate 2
infiltrated 1
information 1
injured 1
installment 1
intertwining 1
into 1
investigate 2
is 2
it 3
just 1
kidnapped 1
ladies 1
large 1
last 1
lee 1
library 1
linda 1
little 2
lovely 1
mafia 1
make 1
man 3
manage 3
manages 1
manor 1
marengo 3
mastermind 1
matters 1
max 5
may 1
meanwhile 1
meeting 1
midst 1
miss 1
more 1
morley 3
motive 1
multiple 1
murdered 1
murders 2
mysteries 1
name 1
next 1
nicks 2
night 1
nights 1
ninth 1
north 5
nowhere 1
of 16
offer 1
on 4
one 1
ordeal 1
out 5
overseen 1
palms 1
parties 1
party 2
peace 1
place 1
plan 1
pointing 1
poking 1
pular 2
quickly 2
ratgirl 1
relway 3
remaining 1
reporting 1
returned 1
returns 2
reunite 1
rights 1
royal 1
sadler 3
safety 1
scheme 1
search 2
sees 1
sent 1
series 1
serious 1
shapechanger 1
shapeshifter 1
shapeshifters 5
she 1
shocked 1
singe 1
skullcrackers 1
small 1
society 1
solve 2
sort 1
start 1
starting 1
starts 1
still 1
strike 1
string 1
stumbles 1
surprise 1
tank 1
tate 2
tates 1
that 4
the 49
their 2
things 1
this 2
three 1
thugs 1
tinnie 3
to 20
tow 1
track 1
tracker 1
tracks 1
try 1
tunfaire 1
turns 1
two 1
ty 1
typical 1
uncover 1
unearths 1
up 1
upper 1
visited 1
visiting 1
way 1
weider 11
weiders 4
well 2
what 1
when 3
where 4
while 2
who 3
why 1
wife 1
will 3
winding 1
with 9
work 1
worse 1
wounds 1
young 1
