5598680
/m/0dvh7z
/m/0dvh7z
Jules Verne
1896
a 23
aboard 1
above 1
absolute 1
accessible 1
acquired 1
acquisition 1
actually 2
actuated 1
adding 1
advertised 1
after 1
against 2
ah 1
aim 1
alias 1
all 2
along 2
also 2
american 3
amply 1
an 3
and 39
any 1
appearances 1
approach 1
approaches 2
are 2
arm 1
around 1
as 6
asylum 2
at 7
attacked 1
attendant 2
authorities 1
aware 1
away 1
back 2
badly 1
bahamas 2
banknotes 1
base 4
battle 1
be 1
bears 1
beats 1
becalmed 1
become 1
becomes 1
becoming 1
been 2
begins 1
bern 1
bills 1
bitter 1
blowing 1
blue 1
board 2
body 1
book 1
both 1
breeze 1
brilliant 1
bring 1
british 6
busy 1
but 6
by 13
can 2
carefully 1
carolina 1
cataclysm 1
cavern 2
change 1
chief 2
coast 1
coins 1
colleague 1
comes 1
comfortable 1
completed 1
completely 2
compunction 1
conditions 1
consisting 1
constructing 1
contact 1
conversations 1
convicts 1
convince 1
count 2
country 3
covers 1
crew 6
crews 1
cruiser 1
cup 1
currents 1
dartigas 1
dartigasactually 1
dead 1
decided 1
decides 1
dedication 1
defend 1
deflagrator 2
deserters 1
designed 1
desolate 1
destroyed 1
details 1
detonator 1
diary 1
direct 1
disappearances 1
discovered 1
dismay 1
dispatched 1
divers 1
do 2
does 1
dollar 1
double 1
drawn 2
draws 1
during 2
duties 1
earth 1
easily 2
east 1
ebba 2
eccentric 1
egged 1
electrical 1
emblem 1
eminently 1
engineer 2
english 1
entire 4
escaped 1
europe 1
eventually 1
exacting 1
exkeeper 1
expert 1
explosive 1
explosives 1
extracted 1
eyes 1
fact 1
failed 1
fascinated 1
fast 1
fearsome 1
fifteen 1
fill 1
find 1
fire 1
first 1
five 2
flag 3
flutters 1
for 3
force 1
formally 1
found 1
four 1
france 2
free 2
french 5
friendly 1
from 4
fulgurator 2
full 1
fully 1
further 1
gain 1
gathered 1
gaydon 2
gaydonsimon 1
german 1
gets 1
given 1
giving 2
glorified 1
goes 1
gold 1
government 2
governments 1
had 3
hand 1
handful 1
handfuls 1
hands 1
happily 1
hart 16
has 8
hastily 1
have 1
having 1
he 14
hears 1
heart 2
heavens 1
henceforward 1
here 1
heterogeneous 1
hide 1
hideout 2
hideoutthe 1
him 6
himself 3
his 32
holding 1
hope 1
hopes 1
however 3
idea 1
impeding 1
impregnable 1
imprisoned 1
in 16
inert 1
informed 1
insane 1
intention 1
international 1
into 1
invention 1
inventor 2
is 29
island 4
it 9
its 4
just 1
karraje 9
keep 1
keg 1
kept 1
ker 1
kidnap 1
kidnapped 1
kidnapping 1
killer 1
knows 2
landing 1
largest 1
last 1
lastminute 1
later 1
lead 1
leading 1
learning 1
leaving 1
let 2
life 1
liquid 1
live 1
lives 1
lose 1
loving 1
lowers 1
luminously 1
luxurious 1
made 1
make 1
makes 1
malagasy 1
man 1
manages 2
many 1
massacre 1
master 1
mastery 1
masthead 1
material 1
means 2
meanwhile 1
megalomaniacal 1
member 1
men 2
menial 1
merely 1
message 2
metal 1
military 1
misunderstood 1
modest 1
moment 2
months 1
moral 1
more 1
much 1
national 1
naval 3
navy 1
nearby 1
new 1
next 1
no 3
noblest 1
north 1
not 1
nothing 2
notorious 1
ocean 1
of 33
on 5
one 1
only 4
openly 1
operated 1
operational 1
operations 1
or 3
orders 1
origin 1
other 2
out 3
outward 1
over 3
own 1
paranoid 2
past 1
patriotism 4
perform 1
perish 1
personally 1
phial 1
pirate 9
pirates 5
plant 1
pleasure 1
pockets 1
ports 1
possession 1
powder 1
power 1
powerful 1
powers 1
practically 1
preserves 1
prisoner 2
prolonged 1
proof 1
property 2
propulsion 1
proudly 1
pull 1
pulled 1
purest 1
purposes 1
quite 1
raising 1
rather 1
reacts 1
reader 1
red 1
rediscovered 1
refuses 1
regular 1
resorts 1
respectable 1
rest 1
resumes 1
reticence 1
revived 1
rewarded 1
rob 1
roch 21
role 1
rolls 1
royalty 1
run 2
ruthless 1
sailing 1
sailors 2
sails 1
sanity 1
saving 1
schooner 1
scum 1
scuttling 1
secret 4
secretly 1
secrets 1
sections 1
seeing 1
seize 2
selfsacrifice 1
sell 1
sending 1
sends 1
sentiment 1
seriously 1
serko 1
serves 1
ship 2
ships 2
shore 1
shown 1
side 1
sight 2
simon 2
since 1
single 1
sky 1
slightly 1
slowly 1
so 2
something 1
soon 1
spirit 1
stand 1
state 1
states 1
statistics 1
struggle 1
struggles 1
studying 1
sub 1
submarine 6
submerged 1
succeeds 1
successfully 1
succession 1
sunk 1
sunken 1
surviving 1
survivor 1
suspects 1
suspicion 1
sword 1
take 2
takes 1
task 1
than 2
that 9
the 79
their 4
them 3
then 4
thereby 1
they 1
this 2
thomas 3
though 1
through 1
title 1
to 37
tolerated 1
towards 1
tricolour 1
truth 1
try 1
tucking 1
tug 1
ulcerated 1
unable 1
unaware 1
unconscious 2
undaunted 1
under 1
underestimate 1
underwater 2
unexplained 1
unfurls 1
united 1
unknown 1
unproven 1
unwittingly 1
up 3
using 1
vessels 1
via 1
victor 1
visit 1
visited 1
visitor 1
vs 1
warning 1
warships 1
was 2
watch 1
way 1
weapon 5
wellequipped 1
what 2
where 1
which 6
white 1
who 1
whose 2
wide 1
willing 1
win 2
with 9
without 3
witness 1
works 1
world 4
would 1
wronged 1
wrongly 1
