9280590
/m/0282w3z
/m/0282w3z
Ann Rinaldi
1998
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
1780 1
a 1
almost 1
also 1
american 2
an 1
and 2
ann 2
are 3
bratty 1
british 1
brother 1
by 1
camden 1
caretaker 1
carolina 1
caroline 3
causes 1
colonel 2
confined 1
conflicting 1
courting 1
death 1
emotions 2
fourteenyearold 1
georgia 2
get 1
he 1
her 5
home 1
in 3
is 3
it 2
johnny 1
kit 1
led 1
melindy 1
midst 1
miz 1
mother 1
negro 1
novel 1
occupying 1
of 2
older 1
one 1
out 1
over 1
patriot 1
place 1
plantation 1
rawdon 1
revolution 1
room 1
sarahand 1
sister 1
small 1
soldiers 1
sore 1
south 1
southern 1
spacious 1
step 1
still 1
the 5
their 1
throughout 1
to 2
travel 1
turns 1
which 1
whitaker 1
wound 1
