12171663
/m/02vsb7g
/m/02vsb7g
Karin Lowachee
2005-04-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 1
about 1
above 1
agent 1
agrees 1
aid 1
almost 1
alternates 1
and 9
andreas 1
approached 1
archangel 1
as 2
at 1
attempting 1
azarcon 2
back 1
been 1
begins 1
black 2
bleak 1
book 1
bring 1
burndive 1
but 2
by 5
cairo 1
caligtiera 1
camp 3
cannot 1
captain 3
carrier 1
cellmate 1
childhood 1
colony 1
contacts 1
crew 1
cruelty 1
dead 1
death 1
despite 1
destroy 1
destroyed 2
destroys 1
detail 1
do 1
done 1
duties 1
earth 2
earthhub 1
essentially 1
estienne 1
eventually 2
exchange 2
fails 2
fakes 1
falcone 6
falls 1
family 1
finch 2
finds 2
first 2
flees 1
for 2
forced 2
former 2
four 1
fourteen 1
free 1
from 2
gain 1
geisha 3
genghis 1
given 1
grace 1
had 1
has 1
he 9
help 1
her 1
him 3
himself 1
his 19
how 1
however 1
in 9
includes 1
indoctrinated 1
indoctrination 1
infamous 1
infiltrating 1
informs 1
intended 1
intentionally 1
into 1
is 14
jaded 1
khan 2
kill 1
kills 1
kublai 1
lands 1
lieutenant 2
live 1
love 1
lukacs 3
macedon 3
mentor 1
military 1
more 1
murder 1
network 1
nine 1
novel 1
of 8
offer 1
offers 1
on 6
once 1
op 1
ops 1
orbiting 1
other 1
out 1
over 1
own 2
partially 1
pax 1
perspective 1
picked 1
pirate 4
planet 1
plans 1
portion 1
power 1
prison 4
proposes 1
prostitution 1
protection 1
protg 2
protgs 1
recruits 1
refugee 1
revenge 1
roshan 1
ryan 2
second 2
seek 1
sent 2
ship 7
smuggled 1
son 1
split 1
station 1
stefano 1
story 3
striviiricna 1
succeeds 1
taja 1
taken 1
takes 1
taking 1
tells 1
terisov 1
terra 1
terraformed 1
that 4
the 24
then 1
they 1
this 5
through 1
to 11
together 1
told 1
try 1
two 1
universe 1
up 2
use 1
vincenzo 1
was 4
what 1
when 4
where 2
which 4
who 2
whose 1
with 5
yuri 10
