7031624
/m/0h156p
/m/0h156p
Don Petersen


a 11
about 1
addict 3
addicts 2
africanamerican 1
also 1
an 4
and 4
are 1
aside 1
at 1
back 1
barber 2
barriers 2
bickham 2
bordering 1
by 1
center 3
character 1
characters 1
charged 1
city 1
coming 1
conrad 2
contrasting 1
created 1
development 1
difference 1
dirty 1
do 1
drama 1
drug 1
during 1
encounters 1
english 1
father 1
for 1
found 1
four 1
from 1
group 1
he 1
him 2
hinders 1
his 6
in 5
industrial 1
is 4
island 1
keeps 1
large 1
leaves 1
linda 1
live 1
lives 1
located 1
love 1
make 1
marry 1
meeting 1
on 1
one 1
only 1
photograph 1
play 1
policeman 1
principal 1
psychiatrist 1
racially 1
recover 1
rehabilitation 3
river 1
same 1
searched 1
seedy 1
shop 1
shows 1
sister 1
son 1
story 1
students 2
system 1
teacher 2
teen 1
teenager 1
that 1
the 10
them 1
there 1
this 1
to 4
tough 1
tries 1
trying 1
upon 1
wants 1
who 2
with 1
working 1
