9857991
/m/02pv16q
/m/02pv16q
Chris Riddell
1998-10-01
a 26
abandoned 1
about 3
act 2
adoptive 2
again 1
alight 1
all 5
almost 4
also 2
although 1
always 2
an 4
and 23
animal 1
antidote 1
any 1
apologizes 1
as 9
at 7
attacked 1
attempts 2
attract 1
awakes 1
awoken 1
banderbear 4
beauty 1
because 1
become 2
been 2
being 2
believes 1
beyond 1
bloodoak 2
bog 1
both 1
brother 1
but 6
by 14
can 2
captain 1
catch 1
caterbird 4
caterbirds 1
caught 1
central 1
ceremony 1
city 1
civilization 1
clearing 1
cocoon 1
colony 2
come 1
commits 1
could 1
cousin 1
crashed 1
creatures 1
cruel 2
dangerous 2
day 1
deck 1
deepwoods 6
demon 2
demons 1
deserted 1
destiny 2
devised 1
different 1
directs 1
disappointed 1
discovers 1
disguise 1
distraught 1
distress 1
does 3
dominant 1
down 1
dreams 1
drinking 1
drowns 1
due 1
during 1
eaten 1
edge 6
edgelands 1
ends 1
enormously 1
entire 1
eventually 1
ever 1
evil 1
exit 1
expected 1
face 2
falling 1
falls 1
families 1
far 1
father 2
fear 2
female 1
ferocious 1
few 1
fierce 1
finally 1
find 2
finds 2
fire 1
fit 1
flies 1
flightrock 1
float 1
follows 2
fond 1
for 7
forest 4
form 1
formed 1
friends 1
from 5
fully 1
game 1
gets 1
getting 1
gigantic 1
girl 5
gloamglozer 9
goblin 3
grateful 1
great 1
greatest 1
grossmother 1
grows 2
gylegoblin 1
had 2
half 1
has 8
hatched 1
have 2
he 19
heals 1
hear 1
heart 1
him 16
himself 2
his 13
horror 1
house 1
hoverworm 3
however 2
human 1
ill 1
immediately 1
in 12
indeed 1
injured 1
into 1
invites 1
is 22
it 5
journey 2
jumped 1
just 3
kill 1
killed 2
kills 1
kind 1
knows 1
last 1
learns 2
leave 1
leaves 1
leaving 1
lies 1
life 1
lightning 1
like 1
lone 1
long 1
lost 1
love 1
lure 1
male 2
matured 1
maturing 1
meets 3
miles 1
mimick 1
mire 3
misadventures 1
mocked 1
mocking 1
momentarily 1
months 1
morning 2
most 1
mother 3
much 1
mull 1
mysteriously 1
natural 1
next 2
night 2
no 1
nonetheless 1
not 4
now 1
obese 1
oblivion 1
of 15
off 2
one 2
only 1
onto 2
order 1
other 1
out 4
outraged 1
outside 2
outstayed 1
over 2
path 1
pet 1
piranhas 1
pirate 2
pirates 3
place 1
poisoned 1
populated 1
powers 1
predators 3
promises 1
protect 2
quintinius 2
raised 2
really 1
reason 1
rescued 1
rescues 1
rest 1
reunited 1
reveals 1
right 1
rotten 1
runin 1
runs 1
sail 1
sap 1
saved 2
saves 1
seduced 1
sees 2
set 2
sets 2
shapeshift 1
share 1
she 2
ship 4
sick 1
skullpelt 1
sky 5
slaughterer 7
slaughterers 1
so 1
some 1
something 1
son 1
soon 2
species 1
spend 1
spends 1
straying 1
stretches 1
strongly 1
struck 1
stumbles 1
such 1
surprise 1
suspects 1
swarm 1
swelling 1
takes 1
telepathic 1
telling 2
tells 5
termagant 1
thank 1
that 7
the 73
their 3
themselves 1
then 2
there 1
things 1
this 4
though 1
thousands 1
through 1
throughout 1
throw 1
throws 1
to 23
tone 1
tooth 1
travel 1
tree 1
trog 5
true 3
twig 37
twist 1
undertown 1
up 2
upon 1
upwards 1
vanishes 1
various 1
vast 1
verginix 2
vermin 1
victims 1
village 2
villagers 1
voice 1
voices 1
wanted 1
was 6
watch 1
watches 1
welcome 1
when 2
where 2
which 8
whilst 1
who 8
whose 1
wigwigs 1
will 1
with 6
without 1
womb 1
woods 1
woodtroll 6
woodtrolls 1
wrenching 1
yet 3
young 1
